Format Version,1.1,Take Name,Take 2024-07-23 01.09.45 PM,Capture Frame Rate,51.000000,Export Frame Rate,51.000000,Capture Start Time,2024-07-23 01.09.45.660 PM,Total Frames,52975,Rotation Type,Quaternion

,,Marker,Marker,Marker
,,Marker-10000,Marker-10000,Marker-10000
,,"8392B20CF49E35702710","8392B20CF49E35702710","8392B20CF49E35702710"
,,Position,Position,Position
Frame,Time,X,Y,Z
129,2.529412,-0.759232,0.418899,0.740104
130,2.549020,-0.759303,0.418905,0.740100
131,2.568627,-0.759310,0.418968,0.740129
132,2.588235,-0.759339,0.419090,0.740129
133,2.607843,-0.759294,0.419093,0.740134
134,2.627451,-0.759253,0.419070,0.740113
135,2.647059,-0.759199,0.419069,0.740134
136,2.666667,-0.759162,0.419046,0.740116
137,2.686275,-0.759131,0.419038,0.740095
138,2.705882,-0.759148,0.419052,0.740059
139,2.725490,-0.759165,0.419117,0.740017
140,2.745098,-0.759100,0.419259,0.739992
141,2.764706,-0.759010,0.419419,0.739969
142,2.784314,-0.758987,0.419511,0.739922
143,2.803922,-0.758899,0.419569,0.739881
144,2.823529,-0.758876,0.419547,0.739888
145,2.843137,-0.758833,0.419632,0.739978
146,2.862745,-0.758769,0.419706,0.740041
147,2.882353,-0.758716,0.419904,0.740128
148,2.901961,-0.758659,0.419924,0.740127
149,2.921569,-0.758689,0.419940,0.740148
150,2.941176,-0.758664,0.419961,0.740158
151,2.960784,-0.758610,0.420059,0.740193
152,2.980392,-0.758582,0.420119,0.740225
153,3.000000,-0.758574,0.420033,0.740190
154,3.019608,-0.758621,0.420087,0.740201
155,3.039216,-0.758497,0.420221,0.740219
156,3.058824,-0.758394,0.420384,0.740238
157,3.078431,-0.758397,0.420393,0.740218
158,3.098039,-0.758337,0.420450,0.740192
159,3.117647,-0.758301,0.420506,0.740177
160,3.137255,-0.758252,0.420659,0.740160
161,3.156863,-0.758282,0.420720,0.740106
162,3.176471,-0.758335,0.420730,0.740051
163,3.196078,-0.758379,0.420788,0.740019
164,3.215686,-0.758417,0.420862,0.740002
165,3.235294,-0.758445,0.420899,0.740001
166,3.254902,-0.758474,0.420936,0.740018
167,3.274510,-0.758476,0.420936,0.740043
168,3.294118,-0.758523,0.421041,0.740129
169,3.313725,-0.758492,0.421091,0.740141
170,3.333333,-0.758482,0.421224,0.740207
171,3.352941,-0.758475,0.421259,0.740207
172,3.372549,-0.758493,0.421376,0.740224
173,3.392157,-0.758544,0.421494,0.740211
174,3.411765,-0.758537,0.421589,0.740192
175,3.431373,-0.758518,0.421659,0.740166
176,3.450980,-0.758515,0.421676,0.740128
177,3.470588,-0.758464,0.421650,0.740080
178,3.490196,-0.758387,0.421643,0.740021
179,3.509804,-0.758330,0.421648,0.740005
180,3.529412,-0.758349,0.421699,0.739939
181,3.549020,-0.758370,0.421793,0.739932
182,3.568627,-0.758427,0.421972,0.739946
183,3.588235,-0.758416,0.422189,0.739988
184,3.607843,-0.758475,0.422298,0.740009
185,3.627451,-0.758456,0.422298,0.740036
186,3.647059,-0.758375,0.422241,0.740056
187,3.666667,-0.758280,0.422219,0.740091
188,3.686275,-0.758184,0.422232,0.740135
189,3.705882,-0.758097,0.422215,0.740171
190,3.725490,-0.758036,0.422212,0.740231
191,3.745098,-0.758036,0.422313,0.740269
192,3.764706,-0.758031,0.422482,0.740304
193,3.784314,-0.758008,0.422715,0.740300
194,3.803922,-0.757981,0.422771,0.740215
195,3.823529,-0.757955,0.422863,0.740154
196,3.843137,-0.757898,0.422891,0.740048
197,3.862745,-0.757768,0.422911,0.740006
198,3.882353,-0.757683,0.422852,0.739947
199,3.901961,-0.757691,0.422770,0.739895
200,3.921569,-0.757728,0.422758,0.739874
201,3.941176,-0.757750,0.422817,0.739866
202,3.960784,-0.757816,0.422934,0.739936
203,3.980392,-0.757982,0.423090,0.740024
204,4.000000,-0.757981,0.423218,0.740047
205,4.019608,-0.757875,0.423376,0.740090
206,4.039216,-0.757804,0.423445,0.740110
207,4.058824,-0.757708,0.423369,0.740079
208,4.078431,-0.757590,0.423316,0.740054
209,4.098039,-0.757525,0.423325,0.740025
210,4.117647,-0.757544,0.423382,0.739968
211,4.137255,-0.757585,0.423453,0.739901
212,4.156863,-0.757634,0.423549,0.739840
213,4.176471,-0.757701,0.423662,0.739783
214,4.196078,-0.757690,0.423717,0.739747
215,4.215686,-0.757553,0.423765,0.739755
216,4.235294,-0.757396,0.423844,0.739759
217,4.254902,-0.757232,0.423806,0.739729
218,4.274510,-0.757160,0.423759,0.739704
219,4.294118,-0.757132,0.423860,0.739674
220,4.313725,-0.757159,0.424031,0.739680
221,4.333333,-0.757260,0.424157,0.739657
222,4.352941,-0.757354,0.424234,0.739643
223,4.372549,-0.757403,0.424299,0.739625
224,4.392157,-0.757404,0.424356,0.739612
225,4.411765,-0.757368,0.424332,0.739599
226,4.431373,-0.757310,0.424184,0.739529
227,4.450980,-0.757212,0.424095,0.739497
228,4.470588,-0.757228,0.424148,0.739453
229,4.490196,-0.757223,0.424369,0.739484
230,4.509804,-0.757296,0.424616,0.739511
231,4.529412,-0.757373,0.424821,0.739553
232,4.549020,-0.757420,0.424958,0.739586
233,4.568627,-0.757388,0.425058,0.739623
234,4.588235,-0.757256,0.425053,0.739609
235,4.607843,-0.757083,0.424941,0.739554
236,4.627451,-0.756937,0.424803,0.739485
237,4.647059,-0.756826,0.424750,0.739428
238,4.666667,-0.756749,0.424854,0.739419
239,4.686275,-0.756778,0.425048,0.739407
240,4.705882,-0.756967,0.425241,0.739397
241,4.725490,-0.757144,0.425394,0.739378
242,4.745098,-0.757214,0.425571,0.739383
243,4.764706,-0.757219,0.425665,0.739355
244,4.784314,-0.757149,0.425621,0.739291
245,4.803922,-0.757034,0.425511,0.739212
246,4.823529,-0.756912,0.425402,0.739131
247,4.843137,-0.756871,0.425372,0.739062
248,4.862745,-0.756944,0.425447,0.738993
249,4.882353,-0.757075,0.425584,0.738937
250,4.901961,-0.757216,0.425748,0.738938
251,4.921569,-0.757362,0.425938,0.738956
252,4.941176,-0.757384,0.426116,0.738997
253,4.960784,-0.757274,0.426162,0.739035
254,4.980392,-0.757080,0.426092,0.739172
255,5.000000,-0.756866,0.425957,0.739291
256,5.019608,-0.756660,0.425918,0.739411
257,5.039216,-0.756536,0.425938,0.739499
258,5.058824,-0.756588,0.426011,0.739620
259,5.078431,-0.756746,0.426093,0.739745
260,5.098039,-0.756887,0.426210,0.739866
261,5.117647,-0.756971,0.426388,0.739995
262,5.137255,-0.757015,0.426508,0.740087
263,5.156863,-0.756993,0.426457,0.740190
264,5.176471,-0.756824,0.426353,0.740290
265,5.196078,-0.756666,0.426371,0.740409
266,5.215686,-0.756560,0.426387,0.740505
