Format Version,1.1,Take Name,Take 2025-06-19 02.14.31 PM,Capture Frame Rate,51.000000,Export Frame Rate,51.000000,Capture Start Time,2025-06-19 02.14.31.651 PM,Total Frames,34911,Rotation Type,Quaternion

,,Marker,Marker,Marker
,,Marker-10000,Marker-10000,Marker-10000
,,"8392B20CF49E35702710","8392B20CF49E35702710","8392B20CF49E35702710"
,,Position,Position,Position
Frame,Time,X,Y,Z
129,2.529412,-0.630345,1.174778,0.843253
130,2.549020,-0.630328,1.174834,0.843266
131,2.568627,-0.630322,1.174905,0.843330
132,2.588235,-0.630284,1.174935,0.843391
133,2.607843,-0.630266,1.174978,0.843384
134,2.627451,-0.630251,1.175021,0.843392
135,2.647059,-0.630319,1.175099,0.843369
136,2.666667,-0.630373,1.175188,0.843310
137,2.686275,-0.630464,1.175262,0.843252
138,2.705882,-0.630581,1.175373,0.843169
139,2.725490,-0.630626,1.175492,0.843055
140,2.745098,-0.630716,1.175568,0.842933
141,2.764706,-0.630698,1.175620,0.842883
142,2.784314,-0.630641,1.175711,0.842896
143,2.803922,-0.630527,1.175801,0.842877
144,2.823529,-0.630521,1.175847,0.842872
145,2.843137,-0.630541,1.175896,0.842881
146,2.862745,-0.630560,1.175952,0.842923
147,2.882353,-0.630636,1.176045,0.843013
148,2.901961,-0.630677,1.176081,0.843055
149,2.921569,-0.630750,1.176118,0.843110
150,2.941176,-0.630768,1.176148,0.843143
151,2.960784,-0.630848,1.176204,0.843140
152,2.980392,-0.630916,1.176278,0.843097
153,3.000000,-0.630993,1.176306,0.843028
154,3.019608,-0.631131,1.176420,0.842980
155,3.039216,-0.631209,1.176517,0.842897
156,3.058824,-0.631281,1.176631,0.842812
157,3.078431,-0.631308,1.176729,0.842686
158,3.098039,-0.631273,1.176771,0.842566
159,3.117647,-0.631195,1.176826,0.842451
160,3.137255,-0.631078,1.176875,0.842369
161,3.156863,-0.630993,1.176913,0.842328
162,3.176471,-0.630906,1.176967,0.842308
163,3.196078,-0.630831,1.177007,0.842275
164,3.215686,-0.630808,1.177082,0.842252
165,3.235294,-0.630789,1.177145,0.842236
166,3.254902,-0.630759,1.177206,0.842191
167,3.274510,-0.630744,1.177236,0.842154
168,3.294118,-0.630705,1.177313,0.842116
169,3.313725,-0.630753,1.177363,0.842062
170,3.333333,-0.630822,1.177403,0.841947
171,3.352941,-0.630891,1.177510,0.841823
172,3.372549,-0.630964,1.177612,0.841710
173,3.392157,-0.631015,1.177759,0.841603
174,3.411765,-0.631056,1.177865,0.841495
175,3.431373,-0.631068,1.177950,0.841376
176,3.450980,-0.631082,1.178036,0.841308
177,3.470588,-0.631069,1.178086,0.841258
178,3.490196,-0.631080,1.178111,0.841222
179,3.509804,-0.631113,1.178133,0.841211
180,3.529412,-0.631154,1.178186,0.841216
181,3.549020,-0.631216,1.178243,0.841207
182,3.568627,-0.631272,1.178297,0.841204
183,3.588235,-0.631377,1.178347,0.841196
184,3.607843,-0.631439,1.178427,0.841204
185,3.627451,-0.631503,1.178461,0.841194
186,3.647059,-0.631573,1.178520,0.841188
187,3.666667,-0.631600,1.178544,0.841150
188,3.686275,-0.631605,1.178597,0.841077
189,3.705882,-0.631616,1.178661,0.841016
190,3.725490,-0.631668,1.178773,0.840966
191,3.745098,-0.631704,1.178874,0.840902
192,3.764706,-0.631755,1.178942,0.840854
193,3.784314,-0.631800,1.179031,0.840822
194,3.803922,-0.631827,1.179088,0.840803
195,3.823529,-0.631828,1.179095,0.840735
196,3.843137,-0.631826,1.179122,0.840719
197,3.862745,-0.631861,1.179192,0.840714
198,3.882353,-0.631884,1.179277,0.840756
199,3.901961,-0.632000,1.179308,0.840811
200,3.921569,-0.632064,1.179361,0.840824
201,3.941176,-0.632103,1.179407,0.840834
202,3.960784,-0.632108,1.179491,0.840829
203,3.980392,-0.632072,1.179528,0.840795
204,4.000000,-0.632036,1.179519,0.840771
205,4.019608,-0.631927,1.179553,0.840691
206,4.039216,-0.631829,1.179631,0.840580
207,4.058824,-0.631749,1.179711,0.840483
208,4.078431,-0.631701,1.179787,0.840377
209,4.098039,-0.631671,1.179855,0.840261
210,4.117647,-0.631675,1.179938,0.840158
211,4.137255,-0.631689,1.180033,0.840103
212,4.156863,-0.631700,1.180062,0.840042
213,4.176471,-0.631756,1.180064,0.840030
214,4.196078,-0.631754,1.180094,0.840054
215,4.215686,-0.631785,1.180160,0.840110
216,4.235294,-0.631810,1.180198,0.840157
