X,Y,Z,A0,A1,A2,A5,A6,A7
4.647059,-0.756826,0.424750,13.92,8.36,0.0,5.77,6.7,7.71
4.705882,-0.756967,0.425241,13.99,8.87,0.0,6.05,6.99,8.0
4.764706,-0.757219,0.425665,14.21,8.65,0.0,5.84,6.85,7.86
4.823529,-0.756912,0.425402,14.21,9.01,0.0,6.05,7.21,8.15
4.882353,-0.757075,0.425584,14.5,8.72,0.0,5.91,6.99,8.07
4.941176,-0.757384,0.426116,14.42,9.23,0.0,6.05,7.28,8.29
5.000000,-0.756866,0.425957,14.64,8.87,0.0,6.05,7.14,8.15
5.058824,-0.756588,0.426011,14.78,9.37,0.0,6.2,7.43,8.44
5.117647,-0.756971,0.426388,15.0,9.16,0.0,6.13,7.28,8.36
5.176471,-0.756824,0.426353,15.0,9.52,0.0,6.27,7.5,8.58
5.235294,-0.756536,0.426446,15.36,9.3,0.0,6.2,7.35,8.51
5.294118,-0.756746,0.426853,15.29,9.73,0.0,6.34,7.64,8.65
5.352941,-0.756677,0.426939,15.58,9.45,0.0,6.34,7.5,8.58
5.411765,-0.756390,0.426908,15.58,9.88,0.0,6.49,7.79,8.87
5.470588,-0.756663,0.427393,15.87,9.73,0.0,6.42,7.57,8.8
5.529412,-0.756614,0.427554,15.79,10.02,0.0,6.56,7.93,8.94
5.588235,-0.756249,0.427435,16.15,9.66,0.0,6.49,7.71,8.8
5.647059,-0.756592,0.427863,16.08,10.24,0.0,6.63,8.07,9.16
5.705882,-0.756713,0.428217,16.37,9.88,0.0,6.49,7.86,8.94
5.764706,-0.756411,0.428109,16.37,10.31,0.0,6.78,8.22,9.3
5.823529,-0.756394,0.428308,16.66,10.02,0.0,6.63,8.0,9.08
5.882353,-0.756545,0.428792,16.66,10.6,0.0,6.85,8.36,9.45
5.941176,-0.756457,0.428717,16.95,10.24,0.0,6.63,8.15,9.23
6.000000,-0.756640,0.428766,16.95,10.67,0.0,6.92,8.44,9.52
6.058824,-0.756995,0.429188,17.31,10.38,0.0,6.78,8.29,9.37
6.117647,-0.756798,0.429262,17.24,10.96,0.0,6.99,8.58,9.66
6.176471,-0.756670,0.429226,17.45,10.53,0.0,6.85,8.36,9.45
6.235294,-0.757076,0.429483,17.45,11.03,0.0,7.06,8.72,9.81
6.294118,-0.756933,0.429637,17.74,10.67,0.0,6.99,8.51,9.66
6.352941,-0.756653,0.429694,17.67,11.25,0.0,7.14,8.87,9.95
6.411765,-0.756951,0.430025,18.03,10.74,0.0,6.99,8.65,9.73
6.470588,-0.757053,0.430103,17.96,11.32,0.0,7.21,9.08,10.02
6.529412,-0.756781,0.430184,18.32,10.89,0.0,7.06,8.8,9.81
6.588235,-0.756693,0.430537,18.32,11.47,0.0,7.28,9.01,10.17
6.647059,-0.756644,0.430672,18.54,11.03,0.0,7.14,8.94,9.95
6.705882,-0.756499,0.430577,18.61,11.61,0.0,7.43,9.3,10.38
6.764706,-0.756679,0.430889,18.9,11.25,0.0,7.28,9.08,10.17
6.823529,-0.757090,0.431235,18.82,11.83,0.0,7.57,9.45,10.53
6.882353,-0.757105,0.431195,19.11,11.61,0.0,7.35,9.23,10.46
6.941176,-0.756967,0.431402,19.11,11.47,0.0,7.43,9.23,10.38
7.000000,-0.757110,0.431701,19.18,11.97,0.0,7.57,9.66,10.6
7.058824,-0.757084,0.431827,19.62,11.68,0.0,7.57,9.45,10.53
7.117647,-0.757007,0.431809,19.62,12.26,0.0,7.86,9.81,10.89
7.176471,-0.757144,0.431977,19.76,11.83,0.0,7.64,9.52,10.67
7.235294,-0.757169,0.432264,19.69,12.4,0.0,7.86,9.88,11.03
7.294118,-0.757000,0.432331,20.05,11.97,0.0,7.71,9.66,10.82
7.352941,-0.757122,0.432539,20.05,12.55,0.0,8.0,10.02,11.25
7.411765,-0.757437,0.432698,20.34,12.19,0.0,7.79,9.73,10.96
7.470588,-0.757429,0.432797,20.41,12.69,0.0,8.15,10.09,11.39
7.529412,-0.757328,0.433015,20.56,12.26,0.0,7.86,9.81,11.1
7.588235,-0.757514,0.433254,20.63,12.91,0.0,8.22,10.24,11.39
7.647059,-0.757642,0.433277,20.92,12.48,0.0,7.93,9.95,11.18
7.705882,-0.757428,0.433554,20.92,13.12,0.0,8.15,10.38,11.54
7.764706,-0.757443,0.433749,21.42,12.98,0.0,8.22,10.24,11.54
7.823529,-0.757486,0.433760,21.28,12.69,0.0,8.15,10.17,11.47
7.882353,-0.757339,0.433895,21.35,13.27,0.0,8.51,10.46,11.9
7.941176,-0.757340,0.434143,21.64,12.84,0.0,8.22,10.17,11.61
8.000000,-0.757318,0.434307,21.64,13.49,0.0,8.51,10.6,12.04
8.058824,-0.757136,0.434367,21.93,13.12,0.0,8.36,10.31,11.83
8.117647,-0.756980,0.434411,21.85,13.7,0.0,8.65,10.6,12.19
8.176471,-0.757089,0.434793,22.21,13.27,0.0,8.51,10.38,11.97
8.235294,-0.757276,0.434868,22.14,13.92,0.0,8.8,10.74,12.33
8.294118,-0.757267,0.434872,22.58,13.34,0.0,8.58,10.53,12.04
8.352941,-0.757309,0.435276,22.43,14.13,0.0,8.87,10.96,12.4
8.411765,-0.757405,0.435416,23.08,13.92,0.0,8.72,10.89,12.33
8.470588,-0.757218,0.435396,22.86,13.7,0.0,8.72,10.67,12.26
8.529412,-0.757144,0.435621,22.79,14.28,0.0,9.01,11.1,12.62
8.588235,-0.757597,0.435912,23.22,13.85,0.0,8.8,10.82,12.4
8.647059,-0.757592,0.436015,23.08,14.5,0.0,9.08,11.32,12.69
8.705882,-0.757556,0.436141,23.51,13.99,0.0,8.87,10.96,12.4
8.764706,-0.757967,0.436419,23.44,14.64,0.0,9.23,11.47,12.84
8.823529,-0.758213,0.436472,23.8,14.13,0.0,8.94,11.1,12.62
8.882353,-0.758373,0.436623,23.66,14.93,0.0,9.3,11.54,13.05
8.941176,-0.758673,0.437008,24.02,14.21,0.0,9.01,11.1,12.76
9.000000,-0.758807,0.437034,23.8,14.28,0.0,9.08,11.32,12.69
9.058824,-0.758639,0.436863,24.02,15.0,0.0,9.37,11.75,13.05
9.117647,-0.758956,0.437380,24.6,14.5,0.0,9.3,11.54,12.91
9.176471,-0.759118,0.437587,24.45,15.22,0.0,9.52,11.97,13.27
9.235294,-0.758915,0.437203,24.81,14.71,0.0,9.3,11.68,12.98
9.294118,-0.759201,0.437782,24.81,15.36,0.0,9.59,12.11,13.41
9.352941,-0.759307,0.438160,25.03,14.78,0.0,9.37,11.75,13.12
9.411765,-0.758907,0.437887,24.96,15.58,0.0,9.66,12.19,13.49
9.470588,-0.758917,0.438099,25.32,15.0,0.0,9.37,11.9,13.27
