A0,A1,A2,A5,A6,A7
14.21,9.01,0.00,6.05,7.21,8.15
14.50,8.72,0.00,5.91,6.99,8.07
14.42,9.23,0.00,6.05,7.28,8.29
14.64,8.87,0.00,6.05,7.14,8.15
14.78,9.37,0.00,6.20,7.43,8.44
15.00,9.16,0.00,6.13,7.28,8.36
15.00,9.52,0.00,6.27,7.50,8.58
15.36,9.30,0.00,6.20,7.35,8.51
15.29,9.73,0.00,6.34,7.64,8.65
15.58,9.45,0.00,6.34,7.50,8.58
15.58,9.88,0.00,6.49,7.79,8.87
15.87,9.73,0.00,6.42,7.57,8.80
15.79,10.02,0.00,6.56,7.93,8.94
16.15,9.66,0.00,6.49,7.71,8.80
16.08,10.24,0.00,6.63,8.07,9.16
16.37,9.88,0.00,6.49,7.86,8.94
16.37,10.31,0.00,6.78,8.22,9.30
16.66,10.02,0.00,6.63,8.00,9.08
16.66,10.60,0.00,6.85,8.36,9.45
16.95,10.24,0.00,6.63,8.15,9.23
16.95,10.67,0.00,6.92,8.44,9.52
17.31,10.38,0.00,6.78,8.29,9.37
17.24,10.96,0.00,6.99,8.58,9.66
17.45,10.53,0.00,6.85,8.36,9.45
17.45,11.03,0.00,7.06,8.72,9.81
17.74,10.67,0.00,6.99,8.51,9.66
17.67,11.25,0.00,7.14,8.87,9.95
18.03,10.74,0.00,6.99,8.65,9.73
17.96,11.32,0.00,7.21,9.08,10.02
18.32,10.89,0.00,7.06,8.80,9.81
18.32,11.47,0.00,7.28,9.01,10.17
18.54,11.03,0.00,7.14,8.94,9.95
18.61,11.61,0.00,7.43,9.30,10.38
18.90,11.25,0.00,7.28,9.08,10.17
18.82,11.83,0.00,7.57,9.45,10.53
19.11,11.61,0.00,7.35,9.23,10.46
19.11,11.47,0.00,7.43,9.23,10.38
19.18,11.97,0.00,7.57,9.66,10.60
19.62,11.68,0.00,7.57,9.45,10.53
19.62,12.26,0.00,7.86,9.81,10.89
19.76,11.83,0.00,7.64,9.52,10.67
19.69,12.40,0.00,7.86,9.88,11.03
