A0,A1,A2,A5,A6,A7
7.14,73.80,73.58,73.80,73.80,73.80
7.28,73.00,72.50,72.86,73.36,73.51
7.64,73.80,73.80,73.80,73.80,73.80
7.57,72.93,72.57,72.86,73.29,73.51
8.07,73.80,73.80,73.80,73.80,73.80
7.71,72.93,72.64,73.29,73.80,73.80
8.07,73.80,73.72,73.80,73.80,73.80
8.36,73.15,73.00,73.80,73.80,73.80
8.22,72.71,71.99,72.28,72.86,73.15
8.72,73.80,73.80,73.80,73.80,73.80
8.72,73.07,72.57,72.93,73.43,73.43
9.08,73.80,73.80,73.80,73.80,73.80
9.01,73.15,72.79,73.07,73.51,73.58
9.37,73.80,73.80,73.80,73.80,73.80
9.30,73.80,73.80,73.80,73.80,73.80
9.52,73.00,72.71,72.93,73.22,73.36
9.88,73.80,73.80,73.80,73.80,73.80
9.81,72.93,72.57,73.00,73.36,73.29
10.24,73.80,73.80,73.80,73.80,73.80
10.17,73.00,72.64,72.86,72.93,72.79
10.46,73.80,73.80,73.80,73.80,73.80
10.38,73.58,73.22,73.29,73.72,73.80
10.82,73.36,73.07,73.15,73.58,73.58
10.96,73.72,73.80,73.80,73.80,73.80
10.96,72.86,72.79,72.86,73.43,73.51
11.39,73.80,73.80,73.80,73.80,73.80
11.25,73.00,72.64,72.35,72.64,73.00
11.83,73.80,73.80,73.80,73.80,73.80
11.54,73.72,73.51,73.58,73.80,73.80
11.97,72.93,72.86,72.93,73.22,73.43
12.26,73.72,73.80,73.80,73.80,73.80
11.97,72.79,72.86,73.00,73.36,73.51
12.40,73.80,73.80,73.80,73.80,73.80
12.33,72.79,72.35,72.35,72.50,73.00
12.76,73.80,73.80,73.80,73.80,73.80
12.69,73.36,73.15,73.29,73.65,73.80
13.05,73.07,72.79,73.00,73.36,73.29
13.41,73.80,73.80,73.80,73.80,73.80
13.20,72.86,72.86,72.93,73.43,73.36
13.56,73.80,73.80,73.80,73.80,73.80
13.56,73.15,73.15,73.51,73.43,73.80
13.85,73.72,73.58,73.43,73.80,73.80
13.99,73.58,73.80,73.80,73.80,73.80
13.99,73.15,73.07,73.07,73.51,73.58
14.28,73.80,73.80,73.80,73.80,73.80
14.28,72.86,73.00,72.93,73.36,73.58
14.71,73.80,73.80,73.80,73.80,73.80
14.71,73.29,73.80,73.29,73.58,73.65
14.86,72.93,72.93,72.86,73.00,73.15
15.36,73.80,73.80,73.80,73.80,73.80
15.14,72.86,73.00,73.00,73.29,73.43
15.51,73.80,73.80,73.80,73.80,73.80
15.43,72.86,72.93,73.07,73.51,73.43
15.79,73.80,73.80,73.72,73.80,73.80
15.94,73.65,73.58,73.58,73.80,73.72
16.01,72.93,72.50,72.42,72.64,72.93
16.59,73.80,73.80,73.80,73.80,73.80
16.30,72.93,72.93,72.93,73.36,73.29
16.73,73.80,73.80,73.80,73.80,73.80
16.59,73.22,73.29,73.15,73.65,73.72
16.95,73.80,73.72,73.43,73.80,73.80
17.16,73.58,73.80,73.80,73.80,73.80
17.16,72.86,72.57,72.28,72.79,73.22
17.74,73.80,73.80,73.80,73.80,73.80
17.45,73.00,73.15,73.00,73.29,73.51
17.81,73.80,73.80,73.80,73.80,73.80
17.53,73.29,73.43,73.43,73.58,73.80
18.03,73.22,73.36,73.29,73.43,73.65
18.25,73.15,73.80,73.80,73.80,73.80
18.32,72.50,72.35,72.06,72.93,73.22
18.82,73.80,73.80,73.80,73.80,73.80
18.54,73.07,73.00,73.15,73.51,73.15
19.18,73.80,73.80,73.80,73.80,73.80
18.75,73.80,73.65,73.72,73.80,73.80
19.11,72.93,72.86,72.93,73.36,73.36
19.40,73.72,73.80,73.80,73.80,73.80
19.40,72.42,72.28,72.64,73.22,73.43
19.91,73.80,73.80,73.80,73.80,73.80
19.69,73.15,73.22,73.07,73.22,73.00
20.12,73.80,73.80,73.80,73.80,73.80
19.91,73.22,73.36,73.00,73.51,73.65
19.98,73.00,73.22,73.00,73.36,73.58
20.56,73.80,73.80,73.80,73.80,73.80
20.48,72.21,72.35,72.71,73.07,73.51
20.77,73.80,73.80,73.80,73.80,73.80
20.84,73.36,73.36,73.36,73.80,73.80
21.20,73.00,73.15,73.00,73.22,73.36
21.57,73.51,73.80,73.80,73.80,73.80
21.13,72.93,73.07,73.00,73.36,73.43
21.64,73.80,73.80,73.65,73.80,73.80
21.64,72.28,72.50,72.79,73.36,73.43
21.93,73.80,73.72,73.51,73.80,73.80
21.85,73.22,73.15,73.29,73.80,73.80
22.21,73.07,73.00,72.93,73.36,73.43
22.50,73.80,73.80,73.80,73.80,73.80
22.21,73.00,73.22,73.00,73.51,73.58
22.72,73.80,73.80,73.65,73.80,73.80
22.65,73.36,73.65,73.36,73.80,73.80
23.01,73.36,73.36,73.07,73.51,73.58
23.44,73.36,73.72,73.80,73.80,73.80
23.15,73.15,73.36,72.93,73.07,73.07
23.80,73.80,73.80,73.80,73.80,73.80
23.15,73.00,73.22,73.07,73.22,73.58
23.73,73.65,73.80,73.58,73.72,73.80
23.80,73.29,73.65,73.43,73.72,73.80
24.02,73.00,73.22,73.07,73.22,73.43
24.38,73.29,73.72,73.80,73.80,73.80
24.31,73.15,73.29,72.93,73.07,72.86
25.10,73.80,73.80,73.80,73.80,73.80
24.38,73.15,73.07,73.00,73.43,73.36
24.96,73.80,73.80,73.51,73.80,73.80
24.96,73.36,73.51,73.29,73.72,73.72
25.17,73.15,73.15,72.86,73.36,73.51
25.46,73.58,73.80,73.80,73.80,73.80
25.32,73.15,73.15,72.57,72.93,72.79
26.33,73.80,73.80,73.80,73.80,73.80
25.39,73.15,73.29,72.93,73.29,73.51
25.75,73.80,73.80,73.51,73.80,73.80
26.04,73.43,73.80,73.43,73.72,73.80
26.11,72.50,73.07,72.86,73.22,73.43
26.47,73.58,73.80,73.51,73.80,73.80
26.40,72.93,73.07,72.57,72.64,72.79
27.48,73.80,73.80,73.80,73.80,73.80
26.61,73.36,73.72,73.29,73.58,73.72
27.34,73.07,73.29,73.07,73.36,73.43
27.26,73.29,73.80,73.80,73.80,73.80
27.34,72.79,73.07,72.93,73.43,73.43
27.48,73.15,73.36,73.07,73.51,73.51
27.55,72.86,72.79,72.50,72.64,72.64
28.63,73.80,73.80,73.80,73.80,73.80
27.77,73.51,73.58,73.22,73.65,73.80
28.35,73.07,73.22,72.79,73.36,73.51
28.42,73.58,73.80,73.80,73.80,73.80
28.27,72.79,73.29,72.93,73.43,73.58
28.63,73.29,73.58,73.15,73.65,73.80
28.56,72.64,72.86,72.28,72.57,72.71
29.79,73.80,73.80,73.80,73.80,73.80
28.85,73.51,73.80,73.36,73.80,73.80
29.64,72.93,73.36,73.00,73.22,73.43
29.28,73.58,73.80,73.51,73.72,73.80
29.00,72.86,73.43,73.00,73.36,73.58
29.64,73.00,73.22,72.86,73.22,73.43
29.72,72.57,73.22,72.50,72.64,73.29
30.08,73.36,73.65,73.22,73.51,73.65
29.93,73.58,73.80,73.65,73.80,73.80
30.73,73.15,73.29,73.00,73.36,73.36
30.22,73.80,73.80,73.58,73.80,73.80
30.44,72.93,73.29,73.00,73.51,73.58
30.73,72.93,73.22,72.71,73.36,73.58
30.80,73.22,73.29,72.79,73.29,73.43
31.16,73.58,73.80,73.22,73.65,73.72
31.09,73.80,73.80,73.58,73.80,73.80
31.66,73.07,73.36,72.93,73.43,73.51
31.45,73.80,73.80,73.65,73.80,73.80
31.38,72.86,73.51,73.07,73.43,73.72
31.66,72.93,73.29,72.93,73.36,73.65
31.81,73.43,73.36,73.07,73.22,73.43
32.03,72.93,73.15,72.57,72.71,73.07
32.67,73.65,73.80,73.80,73.80,73.80
32.24,73.00,73.43,73.22,73.29,73.51
32.24,73.51,73.80,73.51,73.65,73.65
32.96,73.15,73.36,73.07,73.36,73.43
32.89,73.43,73.58,73.43,73.58,73.58
32.96,73.29,73.65,73.43,73.72,73.65
33.11,72.86,72.79,72.42,72.79,73.15
33.54,73.80,73.80,73.80,73.80,73.80
33.40,73.15,73.36,73.15,73.51,73.43
33.76,73.80,73.80,73.72,73.80,73.80
33.18,73.80,73.80,73.72,73.80,73.80
33.97,73.07,73.36,72.93,73.43,73.43
34.26,73.58,73.80,73.80,73.80,73.80
34.12,72.64,72.71,72.21,73.00,73.36
34.62,73.80,73.80,73.80,73.80,73.80
34.41,73.07,73.51,73.22,73.29,73.22
34.98,73.80,73.80,73.80,73.80,73.80
34.48,73.22,73.72,73.36,73.51,73.80
34.62,73.00,73.43,73.22,73.29,73.51
35.20,73.15,73.58,73.43,73.58,73.72
35.27,72.35,72.57,72.28,72.93,73.36
35.56,73.51,73.80,73.43,73.65,73.65
35.49,73.29,73.51,73.07,73.15,73.00
36.21,73.80,73.80,73.80,73.80,73.80
35.49,73.80,73.80,73.58,73.80,73.80
36.14,73.07,73.22,73.00,73.29,73.36
36.28,73.65,73.72,73.51,73.72,73.72
36.28,72.42,72.64,72.71,73.22,73.51
36.71,73.80,73.80,73.58,73.80,73.80
36.50,73.43,73.58,73.07,73.65,73.80
37.00,73.22,73.43,73.00,73.51,73.58
37.08,73.72,73.80,73.80,73.80,73.80
36.86,73.07,73.43,73.00,73.29,73.51
37.22,73.80,73.80,73.65,73.80,73.80
37.22,72.14,72.93,72.93,73.15,73.51
37.51,73.22,73.51,73.07,73.36,73.65
37.58,73.29,73.72,73.65,73.80,73.80
38.01,73.00,73.36,73.00,73.22,73.36
38.23,73.43,73.80,73.58,73.72,73.80
37.51,73.15,73.43,73.22,73.43,73.58
38.16,73.07,73.36,73.22,73.51,73.51
38.45,72.57,73.07,73.00,73.43,73.51
38.59,72.86,72.86,72.86,73.22,73.36
38.59,73.36,73.29,73.36,73.80,73.51
38.88,73.15,73.36,73.00,73.36,73.29
39.96,73.80,73.80,73.80,73.80,73.80
38.88,73.15,73.43,73.07,73.43,73.65
39.38,73.65,73.80,73.36,73.72,73.80
39.24,73.51,73.80,73.58,73.80,73.80
39.67,73.00,73.29,72.93,73.36,73.43
39.89,73.36,73.80,73.80,73.80,73.80
39.82,73.29,73.51,73.00,72.93,73.00
40.97,73.80,73.80,73.80,73.80,73.80
39.67,73.00,73.51,73.15,73.29,73.51
40.11,73.29,73.65,73.36,73.51,73.80
40.25,73.29,73.80,73.43,73.58,73.80
40.61,72.71,73.15,73.00,73.15,73.29
41.04,73.43,73.80,73.51,73.72,73.80
40.83,73.15,73.36,72.86,72.86,72.71
42.20,73.80,73.80,73.80,73.80,73.80
40.90,73.22,73.36,73.07,73.36,73.43
40.75,73.51,73.72,73.43,73.65,73.65
41.19,73.00,73.36,73.15,73.51,73.58
41.62,72.42,73.15,72.86,73.29,73.51
41.98,73.65,73.72,73.36,73.65,73.80
41.84,73.00,73.22,72.57,72.79,72.86
43.35,73.80,73.80,73.80,73.80,73.80
41.69,73.22,73.51,73.07,73.43,73.58
41.76,73.51,73.80,73.22,73.58,73.80
42.27,73.22,73.72,73.29,73.43,73.72
42.49,72.50,73.22,73.00,73.29,73.58
42.77,73.00,73.51,73.07,73.22,73.58
42.77,72.79,73.07,72.57,72.57,72.79
44.36,73.80,73.80,73.80,73.80,73.80
42.99,73.36,73.80,73.36,73.51,73.80
43.86,73.00,73.29,73.00,73.29,73.36
43.57,73.36,73.80,73.51,73.72,73.72
43.57,72.86,73.29,73.15,73.43,73.51
43.86,73.15,73.22,72.93,73.29,73.36
43.93,72.86,72.93,72.50,72.64,72.79
44.58,73.80,73.80,73.80,73.80,73.80
44.00,73.58,73.80,73.36,73.80,73.80
45.16,73.15,73.43,72.93,73.29,73.51
44.43,73.65,73.80,73.58,73.80,73.80
44.07,73.07,73.51,73.07,73.58,73.72
44.72,73.07,73.43,72.93,73.36,73.58
44.94,73.15,73.72,72.93,73.22,73.36
45.37,73.80,73.80,73.43,73.65,73.80
44.94,73.43,73.80,73.65,73.80,73.80
45.88,73.15,73.43,73.07,73.22,73.51
45.37,73.72,73.80,73.72,73.72,73.80
45.37,72.93,73.51,73.15,73.36,73.58
45.59,73.00,73.29,72.86,73.22,73.43
45.80,72.86,72.93,72.50,73.15,73.43
46.09,73.15,73.43,73.00,73.07,73.29
46.31,73.72,73.80,73.80,73.80,73.80
46.96,73.22,73.43,73.15,73.36,73.36
46.17,73.65,73.80,73.51,73.65,73.65
46.45,73.07,73.43,73.07,73.43,73.51
46.74,73.07,73.51,73.15,73.51,73.58
46.89,72.86,72.93,72.57,73.15,73.43
47.32,73.80,73.80,73.43,73.65,73.80
47.10,73.29,73.72,73.15,73.43,73.80
47.25,73.29,73.65,73.15,73.58,73.65
47.25,73.72,73.80,73.43,73.65,73.80
46.89,73.07,73.58,73.22,73.51,73.72
47.46,72.79,73.43,73.00,73.36,73.65
47.68,73.00,73.43,73.15,73.29,73.51
47.90,72.93,73.07,72.50,72.86,73.36
48.19,73.80,73.80,73.72,73.80,73.80
48.11,73.07,73.58,73.15,73.29,73.43
48.47,73.65,73.80,73.43,73.58,73.72
47.90,73.43,73.80,73.51,73.65,73.72
48.69,73.15,73.29,73.07,73.29,73.36
48.98,73.51,73.80,73.58,73.80,73.80
49.05,72.86,72.79,72.57,73.15,73.29
49.20,73.80,73.80,73.51,73.58,73.65
49.27,73.22,73.51,73.15,73.43,73.15
49.84,73.80,73.80,73.72,73.80,73.80
48.83,73.80,73.80,73.65,73.80,73.80
49.84,73.15,73.51,73.00,73.29,73.51
49.99,73.43,73.80,73.43,73.80,73.80
49.92,72.64,72.71,72.35,73.00,73.43
50.28,73.80,73.80,73.43,73.58,73.80
49.99,73.22,73.72,73.07,73.00,73.00
51.29,73.80,73.80,73.80,73.80,73.80
50.35,73.22,73.80,73.43,73.51,73.72
50.28,73.15,73.51,73.15,73.29,73.58
50.85,73.51,73.80,73.36,73.43,73.65
50.93,72.28,72.57,72.79,73.15,73.36
51.21,73.36,73.43,73.00,73.22,73.43
51.14,73.43,73.65,73.07,73.51,73.80
51.58,73.29,73.36,73.15,73.36,73.43
51.79,73.36,73.80,73.43,73.65,73.65
51.14,73.15,73.51,73.29,73.51,73.58
51.65,73.15,73.36,73.07,73.43,73.51
51.94,72.42,73.15,72.86,73.36,73.51
52.08,73.29,73.51,72.93,73.43,73.58
52.15,73.36,73.51,72.93,73.72,73.80
52.59,73.43,73.65,73.15,73.36,73.36
53.60,73.72,73.80,73.80,73.80,73.80
51.86,73.29,73.65,73.15,73.43,73.65
52.66,73.36,73.72,73.22,73.43,73.65
52.73,72.21,73.15,73.00,73.29,73.65
53.09,73.07,73.43,73.00,73.00,73.43
53.02,73.15,73.80,73.80,73.80,73.80
53.74,73.07,73.51,73.07,73.22,73.43
53.81,73.58,73.80,73.43,73.51,73.65
52.80,73.15,73.51,73.29,73.43,73.58
53.52,73.22,73.43,73.15,73.51,73.51
53.74,72.86,73.22,73.15,73.43,73.51
53.96,72.71,72.86,72.79,73.22,73.36
54.32,73.29,73.72,73.65,73.58,73.51
54.24,73.36,73.51,73.00,73.00,72.86
55.76,73.80,73.80,73.80,73.80,73.80
54.10,73.22,73.51,73.00,73.36,73.58
54.53,73.51,73.80,73.36,73.65,73.80
54.68,73.43,73.80,73.29,73.72,73.80
54.89,73.15,73.43,73.00,73.29,73.43
55.25,73.36,73.80,73.80,73.80,73.80
55.25,73.22,73.58,73.00,73.00,73.00
56.12,73.80,73.80,73.80,73.80,73.80
55.25,73.15,73.58,73.29,73.36,73.65
55.40,73.36,73.80,73.29,73.43,73.72
55.47,73.15,73.80,73.36,73.51,73.72
55.90,72.93,73.36,73.00,73.22,73.43
56.48,73.58,73.80,73.51,73.58,73.72
56.12,73.15,73.15,72.71,72.79,72.64
58.07,73.80,73.80,73.80,73.80,73.80
56.19,73.29,73.43,73.15,73.36,73.43
56.05,73.51,73.65,73.36,73.65,73.65
56.34,73.15,73.43,73.15,73.51,73.58
56.91,73.00,73.36,73.00,73.36,73.43
57.27,73.80,73.72,73.22,73.51,73.65
57.06,73.00,73.15,72.42,72.64,72.79
59.15,73.80,73.80,73.80,73.80,73.80
57.13,73.29,73.58,73.07,73.43,73.58
57.06,73.58,73.80,73.43,73.65,73.80
57.42,73.36,73.65,73.15,73.43,73.65
57.78,72.50,73.43,73.07,73.29,73.65
57.92,73.15,73.58,73.07,73.07,73.51
58.14,72.86,73.07,72.42,72.50,72.93
59.15,73.80,73.80,73.80,73.80,73.80
58.21,73.51,73.80,73.43,73.51,73.80
59.51,73.22,73.43,73.07,73.22,73.36
58.65,73.58,73.80,73.58,73.72,73.80
58.72,73.07,73.43,73.15,73.43,73.51
59.01,73.29,73.36,72.86,73.36,73.43
59.08,72.86,72.93,72.42,72.64,73.22
59.29,73.58,73.65,73.22,73.80,73.80
59.44,73.43,73.65,73.15,73.43,73.43
59.58,73.29,73.58,73.07,73.51,73.58
60.09,73.80,73.80,73.22,73.51,73.72
59.58,73.15,73.65,73.15,73.58,73.72
59.80,73.29,73.51,72.93,73.43,73.58
60.09,73.29,73.80,72.57,73.29,73.65
60.45,73.29,73.65,73.00,73.00,73.43
60.30,73.80,73.80,73.80,73.80,73.80
61.89,73.22,73.51,73.07,73.22,73.51
60.30,73.36,73.80,73.43,73.51,73.72
60.52,73.07,73.65,73.29,73.43,73.72
60.74,73.07,73.43,73.00,73.22,73.51
61.24,72.71,72.79,72.93,73.22,73.43
61.39,73.15,73.22,72.57,72.64,72.86
62.11,73.80,73.80,73.80,73.80,73.80
61.68,73.36,73.43,73.15,73.36,73.43
61.46,73.72,73.80,73.51,73.65,73.65
61.75,73.22,73.43,73.15,73.36,73.36
61.89,73.43,73.58,73.15,73.51,73.58
62.04,73.15,73.51,73.07,73.36,73.58
62.18,73.22,73.22,72.42,73.00,73.36
62.69,73.80,73.80,73.51,73.65,73.72
62.18,73.36,73.72,73.15,73.51,73.51
62.83,73.80,73.80,73.72,73.80,73.80
61.82,73.29,73.72,73.15,73.43,73.72
62.47,73.07,73.58,73.15,73.36,73.65
62.83,73.29,73.72,73.29,73.36,73.58
63.19,72.86,72.93,72.42,72.86,73.43
63.26,73.80,73.80,73.36,73.80,73.65
63.26,73.29,73.72,73.29,73.29,73.22
63.98,73.80,73.80,73.80,73.80,73.80
62.83,73.80,73.80,73.72,73.72,73.80
64.13,73.15,73.43,73.07,73.36,73.36
64.13,73.43,73.80,73.51,73.72,73.65
64.06,72.79,72.64,72.86,73.22,73.36
64.42,73.58,73.72,73.36,73.51,73.51
64.27,73.36,73.65,73.15,73.15,72.93
65.28,73.80,73.80,73.80,73.80,73.80
64.06,73.80,73.80,73.58,73.80,73.80
65.14,73.22,73.51,73.07,73.36,73.51
64.99,73.58,73.80,73.43,73.72,73.80
64.99,72.57,72.79,72.71,73.15,73.58
65.21,73.58,73.72,73.29,73.43,73.65
65.14,73.36,73.65,72.86,72.79,72.86
66.44,73.80,73.80,73.80,73.80,73.80
65.43,73.43,73.80,73.36,73.51,73.72
65.35,73.29,73.58,73.15,73.29,73.58
65.79,73.43,73.80,73.36,73.43,73.65
65.93,72.71,73.29,73.00,73.22,73.43
66.15,73.22,73.80,73.29,73.36,73.58
66.22,73.29,73.51,73.15,73.58,73.80
66.58,73.36,73.51,73.15,73.43,73.43
66.36,73.80,73.80,73.80,73.80,73.80
67.23,73.29,73.36,73.15,73.36,73.36
66.94,73.58,73.72,73.29,73.51,73.58
66.87,72.57,73.29,72.93,73.36,73.51
67.09,73.22,73.36,72.79,73.29,73.51
67.16,73.36,73.72,73.43,73.80,73.80
67.52,73.29,73.58,73.00,73.29,73.43
68.10,73.72,73.80,73.80,73.80,73.80
66.94,73.36,73.72,73.00,73.43,73.72
67.59,73.36,73.80,73.36,73.36,73.65
67.45,72.57,73.22,73.00,73.29,73.65
67.95,72.71,72.93,72.79,72.93,73.51
68.10,73.29,73.80,73.80,73.80,73.80
68.53,73.15,73.43,73.00,73.15,73.51
68.67,73.72,73.80,73.43,73.36,73.65
67.74,73.29,73.43,73.36,73.43,73.43
68.38,73.22,73.43,73.07,73.43,73.43
68.53,73.58,73.80,73.58,73.80,73.72
68.89,73.22,73.22,73.15,73.29,73.29
69.61,73.51,73.80,73.80,73.80,73.80
68.96,73.29,73.36,72.86,72.79,72.57
70.26,73.80,73.80,73.80,73.80,73.80
68.67,73.29,73.51,73.00,73.22,73.51
69.25,73.58,73.80,73.36,73.58,73.65
69.32,73.51,73.80,73.29,73.72,73.80
69.83,73.22,73.58,72.93,73.29,73.43
69.76,73.80,73.80,73.80,73.80,73.80
70.12,73.29,73.51,72.86,73.00,73.22
70.33,73.80,73.80,73.80,73.80,73.80
69.76,73.29,73.65,73.36,73.43,73.65
70.33,73.43,73.80,73.43,73.36,73.72
69.97,73.51,73.80,73.58,73.65,73.80
70.69,73.22,73.43,72.93,73.15,73.36
71.20,73.65,73.80,73.43,73.36,73.65
70.69,73.00,72.93,72.57,72.57,72.42
73.29,73.80,73.80,73.80,73.80,73.80
70.91,73.43,73.65,73.22,73.29,73.22
70.48,73.43,73.58,73.36,73.58,73.51
71.13,73.29,73.58,73.15,73.29,73.51
71.49,73.00,73.43,73.07,73.36,73.29
71.56,73.22,73.29,72.86,73.36,73.51
71.85,73.00,73.15,72.28,72.50,72.93
73.07,73.80,73.80,73.80,73.80,73.80
71.70,73.80,73.80,73.51,73.80,73.80
73.22,73.80,73.80,73.80,73.80,73.80
73.65,73.80,73.80,73.80,73.80,73.80
73.80,73.80,73.80,73.80,73.80,73.80
72.21,73.80,73.80,73.80,73.80,73.80
73.36,73.80,73.80,73.80,73.80,73.80
71.78,73.36,73.58,73.80,73.80,73.80
72.86,73.80,73.80,73.80,73.80,73.80
72.06,73.65,73.29,73.58,73.72,73.80
71.05,73.36,73.00,73.36,73.43,73.65
71.92,73.80,72.93,73.80,73.80,73.80
70.98,73.58,72.50,73.29,73.51,73.58
71.63,73.80,72.93,73.80,73.80,73.80
70.48,73.29,71.92,73.29,73.80,73.65
71.20,73.80,72.57,73.51,73.80,73.80
70.77,73.58,72.14,73.51,73.80,73.72
69.54,73.43,71.70,73.07,73.58,73.65
70.40,73.80,72.06,73.51,73.80,73.80
69.47,73.80,71.70,73.51,73.72,73.72
69.97,73.80,71.63,73.51,73.80,73.80
69.11,72.93,70.33,72.28,72.21,72.57
68.75,73.72,71.41,73.80,73.80,73.80
71.49,73.80,71.34,73.80,73.80,73.80
68.10,73.72,70.84,73.72,73.58,73.80
69.61,73.80,70.77,73.72,73.80,73.80
68.31,73.80,70.55,73.58,73.51,73.80
68.75,73.80,70.33,73.80,73.72,73.80
68.17,73.80,69.68,73.07,73.58,73.72
67.74,73.29,69.39,73.15,73.58,73.80
68.38,73.80,69.61,73.80,73.80,73.80
67.16,73.65,69.25,73.29,73.58,73.58
68.17,73.80,69.47,73.80,73.80,73.80
66.94,73.58,68.67,73.15,73.51,73.43
67.45,73.80,69.03,73.65,73.80,73.80
66.87,73.80,68.60,73.58,73.72,73.80
66.36,73.43,68.17,72.93,73.72,73.65
66.87,73.80,68.60,73.58,73.80,73.80
65.57,73.80,68.24,73.58,73.80,73.80
67.30,73.80,68.24,73.51,73.80,73.80
65.14,73.00,67.45,73.15,73.22,73.51
65.07,73.72,67.52,73.36,73.51,73.65
66.22,73.80,67.88,73.80,73.80,73.80
64.71,73.80,68.31,73.80,73.80,73.80
66.29,73.80,67.59,73.72,73.80,73.80
64.49,73.72,67.09,73.58,73.51,73.80
66.08,73.80,66.94,73.80,73.80,73.80
64.71,73.80,66.58,73.51,73.80,73.80
64.13,73.58,66.36,73.43,73.58,73.51
64.42,73.80,66.22,73.80,73.80,73.80
63.70,73.36,65.79,73.72,73.51,73.65
63.98,73.80,66.08,73.72,73.72,73.80
63.19,73.43,65.28,73.07,73.43,73.43
64.13,73.80,65.79,73.72,73.80,73.80
63.33,73.72,65.35,73.58,73.80,73.80
62.54,73.72,65.07,73.15,73.58,73.72
62.90,73.80,65.28,73.58,73.80,73.80
62.04,73.65,64.99,73.80,73.80,73.80
62.61,73.80,64.78,73.58,73.80,73.80
61.75,73.22,64.27,73.29,73.29,73.15
62.04,73.80,64.49,73.80,73.80,73.80
61.39,73.72,64.20,73.65,73.51,73.80
61.10,73.72,63.98,73.65,73.58,73.72
61.68,73.80,63.91,73.65,73.72,73.80
60.95,73.72,63.98,73.72,73.58,73.72
61.31,73.80,63.33,73.80,73.80,73.80
60.95,73.72,63.26,73.51,73.80,73.80
60.16,73.80,63.05,73.65,73.65,73.65
61.46,73.80,62.76,73.80,73.80,73.80
59.94,73.58,62.32,73.22,73.36,73.51
60.38,73.80,62.69,73.65,73.80,73.72
59.51,73.80,61.89,73.00,73.43,73.58
59.94,73.80,62.32,73.72,73.72,73.80
59.29,73.80,61.89,73.65,73.72,73.72
58.57,73.80,61.89,73.43,73.80,73.80
60.30,73.80,61.75,73.58,73.72,73.80
58.14,73.51,61.10,73.29,73.43,73.58
58.86,73.80,61.46,73.51,73.58,73.80
58.07,72.35,60.38,73.00,73.15,73.51
58.28,73.80,60.88,73.58,73.72,73.80
58.00,73.72,60.74,73.58,73.58,73.80
57.27,73.36,60.30,73.36,73.36,73.72
58.65,73.80,60.45,73.65,73.80,73.80
56.91,73.22,59.87,73.29,73.36,73.51
57.35,73.80,60.02,73.80,73.80,73.80
56.70,73.00,59.15,73.15,73.36,73.51
56.63,73.22,59.44,73.15,73.22,73.29
57.20,73.80,59.51,73.80,73.80,73.80
56.05,73.72,59.08,73.43,73.80,73.80
57.56,73.80,59.08,73.80,73.80,73.80
55.62,73.51,58.50,73.07,73.51,73.65
56.26,73.80,58.93,73.65,73.80,73.80
55.54,73.80,58.50,73.51,73.80,73.80
55.04,73.80,58.72,73.51,73.80,73.80
55.47,73.80,58.36,73.65,73.80,73.80
54.53,73.43,57.71,73.22,73.80,73.80
55.76,73.80,58.07,73.80,73.65,73.80
54.03,73.43,57.49,73.58,73.58,73.72
54.97,73.80,57.64,73.65,73.80,73.80
54.32,73.58,57.42,73.58,73.58,73.80
53.81,73.80,56.99,73.65,73.58,73.65
54.24,73.80,56.91,73.65,73.80,73.80
53.38,73.29,56.41,73.29,73.72,73.80
54.03,73.80,56.55,73.80,73.80,73.80
52.95,73.51,55.98,73.22,73.43,73.58
52.37,73.43,55.90,73.51,73.58,73.51
53.31,73.80,56.05,73.65,73.80,73.80
52.59,73.65,55.62,73.36,73.51,73.80
52.73,73.80,55.76,73.80,73.80,73.80
52.08,73.43,55.11,73.15,73.80,73.80
52.51,73.80,55.47,73.58,73.80,73.80
51.86,73.80,55.04,73.65,73.80,73.80
51.00,73.65,54.82,73.22,73.43,73.80
51.72,73.80,54.89,73.65,73.72,73.80
50.93,73.51,54.32,73.36,73.51,73.72
51.50,73.80,54.53,73.65,73.58,73.80
50.49,73.29,54.24,73.80,73.80,73.80
51.29,73.80,54.17,73.80,73.80,73.80
50.71,73.58,53.81,73.65,73.65,73.72
49.99,73.29,53.31,73.29,73.36,73.36
50.42,73.80,53.60,73.65,73.80,73.80
49.70,73.65,53.09,73.51,73.58,73.51
49.92,73.80,53.09,73.72,73.80,73.80
49.48,73.43,52.30,72.64,72.50,73.15
49.56,73.80,52.66,73.72,73.80,73.65
49.27,73.80,52.59,73.36,73.72,73.80
48.76,73.51,52.15,73.36,73.58,73.80
49.27,73.80,52.30,73.80,73.80,73.80
48.47,73.72,51.94,73.29,73.65,73.80
48.55,73.80,52.01,73.65,73.80,73.80
47.82,73.07,50.93,72.35,72.64,73.29
47.75,73.72,51.50,73.80,73.80,73.80
48.91,73.80,51.65,73.80,73.80,73.80
47.03,73.72,51.14,73.58,73.65,73.80
48.26,73.80,51.21,73.80,73.80,73.80
47.03,73.65,50.78,73.65,73.58,73.72
47.32,73.80,50.78,73.58,73.80,73.80
47.03,73.65,50.42,73.72,73.51,73.72
46.45,73.29,49.92,73.29,73.80,73.51
46.89,73.80,50.13,73.65,73.80,73.80
