Format Version,1.1,Take Name,Take 2025-06-26 05.40.56 PM,Capture Frame Rate,51.000000,Export Frame Rate,51.000000,Capture Start Time,2025-06-26 05.40.56.279 PM,Total Frames,288,Rotation Type,Quaternion

,,Marker,Marker,Marker
,,Marker-11427,Marker-11427,Marker-11427
,,"8392B20CF49E35702CA3","8392B20CF49E35702CA3","8392B20CF49E35702CA3"
,,Position,Position,Position
Frame,Time,X,Y,Z
0,0.000000,-0.626514,1.169598,0.838440
1,0.019608,-0.626525,1.169610,0.838448
2,0.039216,-0.626543,1.169597,0.838435
3,0.058824,-0.626543,1.169609,0.838447
4,0.078431,-0.626554,1.169598,0.838441
5,0.098039,-0.626541,1.169586,0.838448
6,0.117647,-0.626542,1.169581,0.838439
7,0.137255,-0.626541,1.169597,0.838445
8,0.156863,-0.626528,1.169600,0.838453
9,0.176471,-0.626536,1.169593,0.838457
10,0.196078,-0.626537,1.169593,0.838450
11,0.215686,-0.626548,1.169605,0.838457
12,0.235294,-0.626546,1.169605,0.838454
13,0.254902,-0.626546,1.169590,0.838452
14,0.274510,-0.626548,1.169589,0.838448
15,0.294118,-0.626545,1.169585,0.838438
16,0.313725,-0.626535,1.169589,0.838440
17,0.333333,-0.626544,1.169588,0.838436
18,0.352941,-0.626534,1.169601,0.838445
19,0.372549,-0.626545,1.169621,0.838449
20,0.392157,-0.626549,1.169627,0.838451
21,0.411765,-0.626538,1.169608,0.838455
22,0.431373,-0.626545,1.169601,0.838451
23,0.450980,-0.626527,1.169580,0.838442
24,0.470588,-0.626541,1.169591,0.838446
25,0.490196,-0.626523,1.169601,0.838449
26,0.509804,-0.626538,1.169603,0.838453
27,0.529412,-0.626536,1.169612,0.838447
28,0.549020,-0.626539,1.169601,0.838449
29,0.568627,-0.626541,1.169598,0.838439
30,0.588235,-0.626538,1.169603,0.838442
31,0.607843,-0.626547,1.169598,0.838448
32,0.627451,-0.626546,1.169598,0.838443
33,0.647059,-0.626547,1.169598,0.838441
34,0.666667,-0.626549,1.169597,0.838450
35,0.686275,-0.626555,1.169585,0.838441
36,0.705882,-0.626558,1.169600,0.838459
37,0.725490,-0.626547,1.169615,0.838436
38,0.745098,-0.626545,1.169613,0.838454
39,0.764706,-0.626538,1.169606,0.838449
40,0.784314,-0.626538,1.169599,0.838447
41,0.803922,-0.626537,1.169587,0.838445
42,0.823529,-0.626541,1.169575,0.838443
43,0.843137,-0.626535,1.169585,0.838442
44,0.862745,-0.626551,1.169598,0.838452
45,0.882353,-0.626538,1.169611,0.838444
46,0.901961,-0.626546,1.169615,0.838445
47,0.921569,-0.626528,1.169607,0.838440
48,0.941176,-0.626529,1.169592,0.838437
49,0.960784,-0.626534,1.169593,0.838444
50,0.980392,-0.626535,1.169588,0.838429
51,1.000000,-0.626539,1.169586,0.838435
52,1.019608,-0.626547,1.169595,0.838438
53,1.039216,-0.626560,1.169600,0.838433
54,1.058824,-0.626553,1.169605,0.838439
55,1.078431,-0.626552,1.169592,0.838436
56,1.098039,-0.626530,1.169592,0.838442
57,1.117647,-0.626537,1.169594,0.838444
58,1.137255,-0.626529,1.169590,0.838443
59,1.156863,-0.626550,1.169595,0.838451
60,1.176471,-0.626554,1.169590,0.838451
61,1.196078,-0.626563,1.169605,0.838458
62,1.215686,-0.626564,1.169609,0.838458
63,1.235294,-0.626563,1.169600,0.838449
64,1.254902,-0.626539,1.169596,0.838446
65,1.274510,-0.626530,1.169583,0.838451
66,1.294118,-0.626524,1.169597,0.838441
67,1.313725,-0.626528,1.169589,0.838443
68,1.333333,-0.626555,1.169587,0.838437
69,1.352941,-0.626548,1.169604,0.838441
70,1.372549,-0.626554,1.169618,0.838444
71,1.392157,-0.626551,1.169620,0.838446
72,1.411765,-0.626540,1.169591,0.838440
73,1.431373,-0.626538,1.169596,0.838442
74,1.450980,-0.626523,1.169574,0.838446
75,1.470588,-0.626525,1.169591,0.838442
76,1.490196,-0.626527,1.169591,0.838443
77,1.509804,-0.626533,1.169602,0.838445
78,1.529412,-0.626540,1.169604,0.838441
79,1.549020,-0.626540,1.169613,0.838444
80,1.568627,-0.626542,1.169600,0.838438
81,1.588235,-0.626531,1.169591,0.838438
82,1.607843,-0.626510,1.169573,0.838433
83,1.627451,-0.626507,1.169605,0.838436
84,1.647059,-0.626488,1.169603,0.838431
85,1.666667,-0.626508,1.169604,0.838439
86,1.686275,-0.626516,1.169581,0.838416
87,1.705882,-0.626526,1.169595,0.838429
88,1.725490,-0.626532,1.169600,0.838422
89,1.745098,-0.626518,1.169598,0.838428
90,1.764706,-0.626512,1.169564,0.838417
91,1.784314,-0.626486,1.169572,0.838418
92,1.803922,-0.626494,1.169564,0.838424
