Format Version,1.1,Take Name,Take 2025-06-27 05.42.56 PM,Capture Frame Rate,51.000000,Export Frame Rate,51.000000,Capture Start Time,2025-06-27 05.42.56.848 PM,Total Frames,533,Rotation Type,Quaternion

,,Marker,Marker,Marker
,,Marker-10000,Marker-10000,Marker-10000
,,"8392B20CF49E35702710","8392B20CF49E35702710","8392B20CF49E35702710"
,,Position,Position,Position
Frame,Time,X,Y,Z
0,0.000000,-0.585704,1.294526,0.749076
1,0.019608,-0.585718,1.294527,0.749080
2,0.039216,-0.585706,1.294551,0.749081
3,0.058824,-0.585683,1.294553,0.749077
4,0.078431,-0.585662,1.294539,0.749076
5,0.098039,-0.585671,1.294490,0.749066
6,0.117647,-0.585660,1.294512,0.749070
7,0.137255,-0.585658,1.294543,0.749073
8,0.156863,-0.585681,1.294547,0.749080
9,0.176471,-0.585708,1.294531,0.749077
10,0.196078,-0.585702,1.294567,0.749079
11,0.215686,-0.585677,1.294555,0.749080
12,0.235294,-0.585684,1.294529,0.749077
13,0.254902,-0.585680,1.294516,0.749065
14,0.274510,-0.585661,1.294536,0.749062
15,0.294118,-0.585659,1.294518,0.749068
16,0.313725,-0.585678,1.294505,0.749064
17,0.333333,-0.585700,1.294511,0.749070
18,0.352941,-0.585713,1.294542,0.749079
19,0.372549,-0.585714,1.294532,0.749086
20,0.392157,-0.585700,1.294547,0.749080
21,0.411765,-0.585669,1.294568,0.749083
22,0.431373,-0.585656,1.294552,0.749082
23,0.450980,-0.585665,1.294499,0.749074
24,0.470588,-0.585698,1.294485,0.749071
25,0.490196,-0.585696,1.294504,0.749077
26,0.509804,-0.585709,1.294546,0.749083
27,0.529412,-0.585709,1.294536,0.749084
28,0.549020,-0.585714,1.294530,0.749080
29,0.568627,-0.585693,1.294526,0.749087
30,0.588235,-0.585674,1.294545,0.749085
31,0.607843,-0.585664,1.294519,0.749079
32,0.627451,-0.585674,1.294502,0.749077
33,0.647059,-0.585667,1.294522,0.749080
34,0.666667,-0.585666,1.294551,0.749087
35,0.686275,-0.585698,1.294545,0.749089
36,0.705882,-0.585722,1.294524,0.749079
37,0.725490,-0.585710,1.294512,0.749075
38,0.745098,-0.585692,1.294510,0.749069
39,0.764706,-0.585663,1.294528,0.749081
40,0.784314,-0.585636,1.294554,0.749083
41,0.803922,-0.585655,1.294525,0.749077
42,0.823529,-0.585686,1.294518,0.749075
43,0.843137,-0.585710,1.294555,0.749083
44,0.862745,-0.585704,1.294585,0.749093
45,0.882353,-0.585703,1.294554,0.749085
46,0.901961,-0.585694,1.294502,0.749082
47,0.921569,-0.585678,1.294502,0.749079
48,0.941176,-0.585665,1.294521,0.749075
49,0.960784,-0.585684,1.294498,0.749072
50,0.980392,-0.585703,1.294476,0.749072
51,1.000000,-0.585680,1.294547,0.749090
52,1.019608,-0.585667,1.294588,0.749095
53,1.039216,-0.585680,1.294580,0.749091
54,1.058824,-0.585701,1.294544,0.749093
55,1.078431,-0.585712,1.294527,0.749081
56,1.098039,-0.585688,1.294528,0.749075
57,1.117647,-0.585671,1.294508,0.749080
58,1.137255,-0.585668,1.294480,0.749072
59,1.156863,-0.585676,1.294490,0.749077
60,1.176471,-0.585680,1.294522,0.749077
61,1.196078,-0.585688,1.294551,0.749084
62,1.215686,-0.585690,1.294571,0.749088
63,1.235294,-0.586468,1.294863,0.748820
64,1.254902,-0.586240,1.294831,0.748744
65,1.274510,-0.586152,1.294776,0.748698
66,1.294118,-0.586088,1.294725,0.748652
67,1.313725,-0.586078,1.294703,0.748642
68,1.333333,-0.586084,1.294706,0.748645
69,1.352941,-0.586076,1.294723,0.748648
70,1.372549,-0.586073,1.294754,0.748654
71,1.392157,-0.586075,1.294762,0.748647
72,1.411765,-0.586093,1.294758,0.748654
73,1.431373,-0.586096,1.294742,0.748649
74,1.450980,-0.586089,1.294739,0.748653
75,1.470588,-0.586073,1.294719,0.748637
76,1.490196,-0.586070,1.294710,0.748653
77,1.509804,-0.586071,1.294729,0.748649
78,1.529412,-0.586099,1.294756,0.748653
79,1.549020,-0.586109,1.294750,0.748658
80,1.568627,-0.586120,1.294727,0.748650
81,1.588235,-0.586107,1.294732,0.748655
82,1.607843,-0.586080,1.294751,0.748657
83,1.627451,-0.586085,1.294752,0.748654
84,1.647059,-0.586060,1.294728,0.748649
85,1.666667,-0.586078,1.294717,0.748644
86,1.686275,-0.586085,1.294728,0.748645
87,1.705882,-0.586093,1.294737,0.748646
88,1.725490,-0.586110,1.294748,0.748641
89,1.745098,-0.586106,1.294740,0.748644
90,1.764706,-0.586104,1.294759,0.748652
91,1.784314,-0.586084,1.294760,0.748646
92,1.803922,-0.586085,1.294728,0.748645
93,1.823529,-0.586083,1.294697,0.748636
94,1.843137,-0.586067,1.294723,0.748642
95,1.862745,-0.586070,1.294755,0.748651
