Format Version,1.1,Take Name,Take 2025-06-30 05.20.42 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-06-30 05.20.42.618 PM,Total Frames,301,Rotation Type,Quaternion

,,Marker,Marker,Marker
,,Marker-10000,Marker-10000,Marker-10000
,,"8392B20CF49E35702710","8392B20CF49E35702710","8392B20CF49E35702710"
,,Position,Position,Position
Frame,Time,X,Y,Z
700,5.833333,-0.723462,1.413826,0.559350
701,5.841667,-0.723474,1.413908,0.559375
702,5.850000,-0.723446,1.413980,0.559379
703,5.858333,-0.723411,1.414018,0.559387
704,5.866667,-0.723374,1.414005,0.559384
705,5.875000,-0.723399,1.413973,0.559385
706,5.883333,-0.723418,1.413929,0.559360
707,5.891667,-0.719233,1.411539,0.556200
708,5.900000,-0.719212,1.411522,0.556190
709,5.908333,-0.723384,1.413890,0.559359
710,5.916667,-0.723325,1.413906,0.559347
711,5.925000,-0.723295,1.413958,0.559354
712,5.933333,-0.723296,1.413948,0.559346
713,5.941667,-0.723311,1.413896,0.559337
714,5.950000,-0.723326,1.413833,0.559335
715,5.958333,-0.723342,1.413789,0.559324
716,5.966667,-0.723393,1.413788,0.559326
717,5.975000,-0.723406,1.413801,0.559317
718,5.983333,-0.719151,1.411450,0.556149
719,5.991667,-0.723402,1.413878,0.559365
720,6.000000,-0.719226,1.411539,0.556185
721,6.008333,-0.723485,1.413918,0.559366
722,6.016667,-0.723477,1.413901,0.559371
723,6.025000,-0.723462,1.413864,0.559361
724,6.033333,-0.723444,1.413834,0.559348
725,6.041667,-0.719190,1.411453,0.556151
726,6.050000,-0.719187,1.411488,0.556162
727,6.058333,-0.723374,1.413865,0.559330
728,6.066667,-0.723353,1.413865,0.559337
729,6.075000,-0.723312,1.413861,0.559330
730,6.083333,-0.723290,1.413863,0.559327
731,6.091667,-0.723273,1.413850,0.559317
732,6.100000,-0.723288,1.413855,0.559321
733,6.108333,-0.723304,1.413841,0.559327
734,6.116667,-0.723323,1.413828,0.559325
735,6.125000,-0.723341,1.413814,0.559318
736,6.133333,-0.723394,1.413817,0.559332
737,6.141667,-0.723415,1.413823,0.559340
738,6.150000,-0.723414,1.413847,0.559345
739,6.158333,-0.719180,1.411494,0.556161
740,6.166667,-0.719186,1.411522,0.556167
741,6.175000,-0.719184,1.411525,0.556168
742,6.183333,-0.719217,1.411517,0.556176
743,6.191667,-0.719189,1.411469,0.556166
744,6.200000,-0.719182,1.411468,0.556175
745,6.208333,-0.719216,1.411488,0.556177
746,6.216667,-0.719254,1.411540,0.556189
747,6.225000,-0.723395,1.413891,0.559353
748,6.233333,-0.723356,1.413874,0.559348
749,6.241667,-0.723352,1.413870,0.559345
750,6.250000,-0.723360,1.413878,0.559340
751,6.258333,-0.723370,1.413885,0.559355
752,6.266667,-0.723354,1.413847,0.559339
753,6.275000,-0.723323,1.413812,0.559330
754,6.283333,-0.723301,1.413806,0.559324
755,6.291667,-0.723302,1.413807,0.559324
756,6.300000,-0.723317,1.413822,0.559321
757,6.308333,-0.723325,1.413806,0.559319
758,6.316667,-0.723335,1.413811,0.559338
759,6.325000,-0.723372,1.413820,0.559344
760,6.333333,-0.723414,1.413848,0.559353
761,6.341667,-0.719275,1.411531,0.556219
762,6.350000,-0.723429,1.413881,0.559366
763,6.358333,-0.723430,1.413890,0.559370
764,6.366667,-0.723455,1.413912,0.559381
765,6.375000,-0.723485,1.413933,0.559389
766,6.383333,-0.723470,1.413922,0.559382
767,6.391667,-0.723448,1.413904,0.559381
768,6.400000,-0.723416,1.413883,0.559367
769,6.408333,-0.719160,1.411497,0.556170
770,6.416667,-0.723362,1.413878,0.559355
771,6.425000,-0.723320,1.413862,0.559346
772,6.433333,-0.723305,1.413844,0.559328
773,6.441667,-0.723275,1.413810,0.559312
774,6.450000,-0.723254,1.413802,0.559307
775,6.458333,-0.723279,1.413808,0.559316
776,6.466667,-0.723307,1.413813,0.559317
777,6.475000,-0.723326,1.413815,0.559324
778,6.483333,-0.723339,1.413812,0.559327
779,6.491667,-0.723360,1.413820,0.559325
780,6.500000,-0.723413,1.413841,0.559342
781,6.508333,-0.719227,1.411491,0.556186
782,6.516667,-0.723442,1.413856,0.559357
783,6.525000,-0.723436,1.413869,0.559361
784,6.533333,-0.723447,1.413878,0.559363
785,6.541667,-0.723454,1.413889,0.559363
786,6.550000,-0.723451,1.413895,0.559364
787,6.558333,-0.719181,1.411490,0.556163
788,6.566667,-0.719160,1.411480,0.556164
789,6.575000,-0.723386,1.413873,0.559359
790,6.583333,-0.723386,1.413883,0.559357
791,6.591667,-0.723349,1.413895,0.559350
792,6.600000,-0.723315,1.413884,0.559344
793,6.608333,-0.723295,1.413853,0.559331
794,6.616667,-0.723285,1.413835,0.559330
795,6.625000,-0.723296,1.413835,0.559331
