Format Version,1.1,Take Name,Take 2025-06-26 05.43.44 PM,Capture Frame Rate,51.000000,Export Frame Rate,51.000000,Capture Start Time,2025-06-26 05.43.44.093 PM,Total Frames,251,Rotation Type,Quaternion

,,Marker,Marker,Marker
,,Marker-10000,Marker-10000,Marker-10000
,,"8392B20CF49E35702710","8392B20CF49E35702710","8392B20CF49E35702710"
,,Position,Position,Position
Frame,Time,X,Y,Z
129,2.529412,-0.627908,1.169271,0.841106
130,2.549020,-0.628026,1.169255,0.841295
131,2.568627,-0.628132,1.169259,0.841412
132,2.588235,-0.628191,1.169246,0.841447
133,2.607843,-0.628177,1.169232,0.841413
134,2.627451,-0.628076,1.169236,0.841338
135,2.647059,-0.627943,1.169264,0.841176
136,2.666667,-0.627809,1.169310,0.840967
137,2.686275,-0.627728,1.169362,0.840775
138,2.705882,-0.627654,1.169421,0.840614
139,2.725490,-0.627619,1.169467,0.840496
140,2.745098,-0.627631,1.169492,0.840409
141,2.764706,-0.627659,1.169492,0.840414
142,2.784314,-0.627730,1.169445,0.840501
143,2.803922,-0.627810,1.169394,0.840634
144,2.823529,-0.627892,1.169339,0.840794
145,2.843137,-0.627983,1.169297,0.840988
146,2.862745,-0.628068,1.169257,0.841164
147,2.882353,-0.628111,1.169235,0.841320
148,2.901961,-0.628107,1.169232,0.841400
149,2.921569,-0.628064,1.169248,0.841425
150,2.941176,-0.627977,1.169255,0.841370
151,2.960784,-0.627859,1.169268,0.841266
152,2.980392,-0.627743,1.169268,0.841099
153,3.000000,-0.627673,1.169342,0.840917
154,3.019608,-0.627623,1.169377,0.840745
155,3.039216,-0.627632,1.169418,0.840598
156,3.058824,-0.627680,1.169437,0.840496
157,3.078431,-0.627773,1.169462,0.840462
158,3.098039,-0.627883,1.169465,0.840491
159,3.117647,-0.627982,1.169429,0.840571
160,3.137255,-0.628026,1.169375,0.840699
161,3.156863,-0.628041,1.169327,0.840852
162,3.176471,-0.628034,1.169301,0.841023
163,3.196078,-0.628018,1.169266,0.841156
164,3.215686,-0.627986,1.169255,0.841269
165,3.235294,-0.627918,1.169241,0.841311
166,3.254902,-0.627840,1.169265,0.841306
167,3.274510,-0.627773,1.169278,0.841225
168,3.294118,-0.627708,1.169298,0.841114
169,3.313725,-0.627685,1.169307,0.840974
170,3.333333,-0.627698,1.169359,0.840821
171,3.352941,-0.627724,1.169390,0.840675
172,3.372549,-0.627790,1.169420,0.840581
173,3.392157,-0.627874,1.169417,0.840520
174,3.411765,-0.627961,1.169461,0.840521
175,3.431373,-0.628029,1.169456,0.840558
176,3.450980,-0.628065,1.169437,0.840633
177,3.470588,-0.628052,1.169370,0.840728
178,3.490196,-0.628002,1.169325,0.840847
179,3.509804,-0.627930,1.169303,0.840947
180,3.529412,-0.627851,1.169299,0.841045
181,3.549020,-0.627771,1.169287,0.841084
182,3.568627,-0.627722,1.169293,0.841086
183,3.588235,-0.627712,1.169318,0.841040
184,3.607843,-0.627727,1.169353,0.840942
185,3.627451,-0.627758,1.169374,0.840828
186,3.647059,-0.627800,1.169399,0.840705
187,3.666667,-0.627847,1.169414,0.840585
188,3.686275,-0.627915,1.169434,0.840474
189,3.705882,-0.627978,1.169459,0.840407
190,3.725490,-0.628032,1.169460,0.840378
191,3.745098,-0.628057,1.169482,0.840393
192,3.764706,-0.628054,1.169483,0.840443
193,3.784314,-0.628003,1.169475,0.840526
194,3.803922,-0.627932,1.169419,0.840619
195,3.823529,-0.627850,1.169399,0.840724
196,3.843137,-0.627766,1.169357,0.840805
197,3.862745,-0.627742,1.169341,0.840861
198,3.882353,-0.627711,1.169339,0.840886
199,3.901961,-0.627728,1.169365,0.840885
200,3.921569,-0.627767,1.169381,0.840843
201,3.941176,-0.627826,1.169402,0.840777
202,3.960784,-0.627921,1.169412,0.840678
203,3.980392,-0.627967,1.169415,0.840583
204,4.000000,-0.628022,1.169440,0.840494
205,4.019608,-0.628046,1.169455,0.840429
206,4.039216,-0.628049,1.169475,0.840378
207,4.058824,-0.628038,1.169481,0.840374
208,4.078431,-0.627978,1.169485,0.840404
209,4.098039,-0.627922,1.169474,0.840460
210,4.117647,-0.627860,1.169453,0.840537
211,4.137255,-0.627797,1.169425,0.840619
212,4.156863,-0.627736,1.169407,0.840691
213,4.176471,-0.627731,1.169374,0.840759
