Format Version,1.1,Take Name,Take 2025-06-30 05.36.25 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-06-30 05.36.25.684 PM,Total Frames,401,Rotation Type,Quaternion

,,Marker,Marker,Marker
,,Marker-10000,Marker-10000,Marker-10000
,,"8392B20CF49E35702710","8392B20CF49E35702710","8392B20CF49E35702710"
,,Position,Position,Position
Frame,Time,X,Y,Z
800,6.666667,-0.708256,1.299531,0.589447
801,6.675000,-0.708249,1.299522,0.589447
802,6.683333,-0.708235,1.299517,0.589440
803,6.691667,-0.708246,1.299528,0.589443
804,6.700000,-0.708256,1.299534,0.589450
805,6.708333,-0.708267,1.299550,0.589456
806,6.716667,-0.708267,1.299550,0.589461
807,6.725000,-0.703420,1.296503,0.586068
808,6.733333,-0.703410,1.296498,0.586069
809,6.741667,-0.703404,1.296501,0.586060
810,6.750000,-0.703449,1.296544,0.586083
811,6.758333,-0.703465,1.296545,0.586093
812,6.766667,-0.703430,1.296511,0.586080
813,6.775000,-0.703389,1.296498,0.586060
814,6.783333,-0.703418,1.296516,0.586074
815,6.791667,-0.703468,1.296552,0.586095
816,6.800000,-0.703458,1.296540,0.586084
817,6.808333,-0.708283,1.299546,0.589457
818,6.816667,-0.708254,1.299529,0.589443
819,6.825000,-0.708249,1.299503,0.589440
820,6.833333,-0.708250,1.299505,0.589443
821,6.841667,-0.708245,1.299507,0.589443
822,6.850000,-0.708240,1.299502,0.589442
823,6.858333,-0.708250,1.299505,0.589446
824,6.866667,-0.708241,1.299509,0.589442
825,6.875000,-0.708253,1.299523,0.589450
826,6.883333,-0.708261,1.299546,0.589453
827,6.891667,-0.708276,1.299545,0.589450
828,6.900000,-0.703409,1.296505,0.586068
829,6.908333,-0.703413,1.296507,0.586065
830,6.916667,-0.703454,1.296545,0.586083
831,6.925000,-0.703456,1.296540,0.586068
832,6.933333,-0.703433,1.296520,0.586066
833,6.941667,-0.703367,1.296482,0.586040
834,6.950000,-0.703389,1.296499,0.586051
835,6.958333,-0.703442,1.296526,0.586066
836,6.966667,-0.703441,1.296512,0.586064
837,6.975000,-0.703395,1.296479,0.586038
838,6.983333,-0.708266,1.299516,0.589446
839,6.991667,-0.708257,1.299499,0.589437
840,7.000000,-0.708259,1.299519,0.589438
841,7.008333,-0.708240,1.299524,0.589445
842,7.016667,-0.708226,1.299515,0.589435
843,7.025000,-0.708222,1.299514,0.589429
844,7.033333,-0.708227,1.299514,0.589433
845,7.041667,-0.708241,1.299526,0.589437
846,7.050000,-0.708278,1.299553,0.589452
847,7.058333,-0.708275,1.299549,0.589450
848,7.066667,-0.708263,1.299544,0.589442
849,7.075000,-0.703412,1.296512,0.586059
850,7.083333,-0.703436,1.296536,0.586061
851,7.091667,-0.703453,1.296541,0.586076
852,7.100000,-0.703440,1.296524,0.586077
853,7.108333,-0.703407,1.296489,0.586062
854,7.116667,-0.703433,1.296498,0.586056
855,7.125000,-0.703436,1.296500,0.586064
856,7.133333,-0.703429,1.296513,0.586053
857,7.141667,-0.703431,1.296525,0.586062
858,7.150000,-0.708274,1.299542,0.589444
859,7.158333,-0.708256,1.299520,0.589438
860,7.166667,-0.708247,1.299510,0.589436
861,7.175000,-0.708243,1.299506,0.589424
862,7.183333,-0.708256,1.299517,0.589437
863,7.191667,-0.708251,1.299502,0.589431
864,7.200000,-0.708218,1.299501,0.589430
865,7.208333,-0.708218,1.299521,0.589437
866,7.216667,-0.708252,1.299550,0.589438
867,7.225000,-0.708247,1.299541,0.589429
868,7.233333,-0.708236,1.299531,0.589435
869,7.241667,-0.703370,1.296468,0.586037
870,7.250000,-0.703433,1.296506,0.586061
871,7.258333,-0.703496,1.296542,0.586079
872,7.266667,-0.703446,1.296513,0.586065
873,7.275000,-0.703396,1.296489,0.586053
874,7.283333,-0.703411,1.296498,0.586059
875,7.291667,-0.703461,1.296549,0.586083
876,7.300000,-0.703468,1.296551,0.586084
877,7.308333,-0.703454,1.296536,0.586085
878,7.316667,-0.708277,1.299528,0.589442
879,7.325000,-0.708277,1.299512,0.589451
880,7.333333,-0.708269,1.299513,0.589445
881,7.341667,-0.708264,1.299516,0.589440
882,7.350000,-0.708250,1.299519,0.589434
883,7.358333,-0.708240,1.299508,0.589434
884,7.366667,-0.708227,1.299502,0.589436
885,7.375000,-0.708246,1.299527,0.589438
886,7.383333,-0.708258,1.299550,0.589445
887,7.391667,-0.708265,1.299560,0.589451
888,7.400000,-0.708259,1.299538,0.589446
889,7.408333,-0.708270,1.299533,0.589460
890,7.416667,-0.708285,1.299548,0.589459
891,7.425000,-0.703440,1.296521,0.586078
892,7.433333,-0.703425,1.296521,0.586059
893,7.441667,-0.703425,1.296523,0.586058
894,7.450000,-0.703439,1.296528,0.586076
895,7.458333,-0.703414,1.296510,0.586053
