Format Version,1.1,Take Name,Take 2025-06-30 05.13.35 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-06-30 05.13.35.279 PM,Total Frames,401,Rotation Type,Quaternion

,,Marker,Marker,Marker
,,Marker-10000,Marker-10000,Marker-10000
,,"8392B20CF49E35702710","8392B20CF49E35702710","8392B20CF49E35702710"
,,Position,Position,Position
Frame,Time,X,Y,Z
929,7.741667,-0.724712,1.411919,0.553705
930,7.750000,-0.724728,1.411911,0.553668
931,7.758333,-0.724717,1.411891,0.553665
932,7.766667,-0.724699,1.411880,0.553639
933,7.775000,-0.724742,1.411898,0.553623
934,7.783333,-0.724784,1.411930,0.553658
935,7.791667,-0.728387,1.413877,0.556570
936,7.800000,-0.728387,1.413873,0.556560
937,7.808333,-0.728396,1.413880,0.556579
938,7.816667,-0.728407,1.413900,0.556598
939,7.825000,-0.728428,1.413938,0.556604
940,7.833333,-0.728429,1.413959,0.556617
941,7.841667,-0.728398,1.413953,0.556629
942,7.850000,-0.728378,1.413939,0.556631
943,7.858333,-0.728368,1.413945,0.556649
944,7.866667,-0.728350,1.413942,0.556664
945,7.875000,-0.728345,1.413935,0.556662
946,7.883333,-0.724719,1.411941,0.553736
947,7.891667,-0.724719,1.411928,0.553753
948,7.900000,-0.724703,1.411900,0.553744
949,7.908333,-0.724733,1.411907,0.553745
950,7.916667,-0.724740,1.411904,0.553743
951,7.925000,-0.724758,1.411904,0.553760
952,7.933333,-0.724756,1.411898,0.553747
953,7.941667,-0.724760,1.411893,0.553730
954,7.950000,-0.724786,1.411910,0.553755
955,7.958333,-0.724759,1.411894,0.553723
956,7.966667,-0.728397,1.413880,0.556646
957,7.975000,-0.728396,1.413893,0.556644
958,7.983333,-0.728402,1.413915,0.556638
959,7.991667,-0.728398,1.413939,0.556629
960,8.000000,-0.728403,1.413959,0.556636
961,8.008333,-0.728404,1.413956,0.556631
962,8.016667,-0.728381,1.413940,0.556614
963,8.025000,-0.728363,1.413931,0.556605
964,8.033333,-0.728379,1.413944,0.556612
965,8.041667,-0.728368,1.413931,0.556593
966,8.050000,-0.728350,1.413899,0.556593
967,8.058333,-0.724687,1.411911,0.553657
968,8.066667,-0.724709,1.411923,0.553667
969,8.075000,-0.724792,1.411970,0.553714
970,8.083333,-0.724821,1.411978,0.553734
971,8.091667,-0.724779,1.411925,0.553717
972,8.100000,-0.724784,1.411908,0.553722
973,8.108333,-0.724816,1.411912,0.553737
974,8.116667,-0.724781,1.411890,0.553724
975,8.125000,-0.724774,1.411893,0.553728
976,8.133333,-0.728403,1.413878,0.556665
977,8.141667,-0.728407,1.413896,0.556679
978,8.150000,-0.728415,1.413906,0.556682
979,8.158333,-0.728418,1.413919,0.556692
980,8.166667,-0.728420,1.413931,0.556698
981,8.175000,-0.728418,1.413936,0.556696
982,8.183333,-0.728418,1.413939,0.556693
983,8.191667,-0.728405,1.413949,0.556698
984,8.200000,-0.728381,1.413956,0.556684
985,8.208333,-0.728368,1.413957,0.556666
986,8.216667,-0.728365,1.413950,0.556662
987,8.225000,-0.728335,1.413924,0.556640
988,8.233333,-0.724702,1.411942,0.553694
989,8.241667,-0.724743,1.411948,0.553702
990,8.250000,-0.724764,1.411940,0.553695
991,8.258333,-0.724748,1.411922,0.553679
992,8.266667,-0.724735,1.411906,0.553660
993,8.275000,-0.724725,1.411899,0.553657
994,8.283333,-0.724733,1.411908,0.553654
995,8.291667,-0.728373,1.413886,0.556583
996,8.300000,-0.728382,1.413889,0.556595
997,8.308333,-0.728399,1.413883,0.556609
998,8.316667,-0.728411,1.413894,0.556617
999,8.325000,-0.728433,1.413915,0.556631
1000,8.333333,-0.728439,1.413930,0.556635
1001,8.341667,-0.728439,1.413948,0.556659
1002,8.350000,-0.728414,1.413936,0.556659
1003,8.358333,-0.728405,1.413949,0.556664
1004,8.366667,-0.728393,1.413951,0.556660
1005,8.375000,-0.728399,1.413937,0.556670
1006,8.383333,-0.728370,1.413902,0.556672
1007,8.391667,-0.724684,1.411885,0.553718
1008,8.400000,-0.724755,1.411924,0.553753
1009,8.408333,-0.724747,1.411924,0.553737
1010,8.416667,-0.724702,1.411911,0.553713
1011,8.425000,-0.724705,1.411935,0.553738
