Format Version,1.1,Take Name,Take 2025-06-26 05.42.09 PM,Capture Frame Rate,51.000000,Export Frame Rate,51.000000,Capture Start Time,2025-06-26 05.42.09.930 PM,Total Frames,281,Rotation Type,Quaternion

,,Marker,Marker,Marker
,,Marker-10000,Marker-10000,Marker-10000
,,"8392B20CF49E35702710","8392B20CF49E35702710","8392B20CF49E35702710"
,,Position,Position,Position
Frame,Time,X,Y,Z
0,0.000000,-0.625233,1.169582,0.837947
1,0.019608,-0.625263,1.169608,0.837961
2,0.039216,-0.625254,1.169582,0.837953
3,0.058824,-0.625247,1.169554,0.837941
4,0.078431,-0.625239,1.169524,0.837947
5,0.098039,-0.625225,1.169499,0.837939
6,0.117647,-0.625246,1.169467,0.837941
7,0.137255,-0.625234,1.169491,0.837935
8,0.156863,-0.625245,1.169544,0.837946
9,0.176471,-0.625245,1.169598,0.837957
10,0.196078,-0.625257,1.169607,0.837954
11,0.215686,-0.625253,1.169564,0.837947
12,0.235294,-0.625246,1.169525,0.837944
13,0.254902,-0.625239,1.169511,0.837937
14,0.274510,-0.625223,1.169501,0.837937
15,0.294118,-0.625232,1.169501,0.837942
16,0.313725,-0.625237,1.169520,0.837942
17,0.333333,-0.625263,1.169578,0.837954
18,0.352941,-0.625265,1.169588,0.837956
19,0.372549,-0.625265,1.169546,0.837959
20,0.392157,-0.625274,1.169509,0.837944
21,0.411765,-0.625248,1.169512,0.837951
22,0.431373,-0.625238,1.169521,0.837948
23,0.450980,-0.625227,1.169515,0.837945
24,0.470588,-0.625255,1.169520,0.837947
25,0.490196,-0.625250,1.169550,0.837947
26,0.509804,-0.625272,1.169571,0.837954
27,0.529412,-0.625257,1.169559,0.837946
28,0.549020,-0.625259,1.169544,0.837947
29,0.568627,-0.625239,1.169532,0.837936
30,0.588235,-0.625224,1.169537,0.837942
31,0.607843,-0.625232,1.169530,0.837935
32,0.627451,-0.625224,1.169521,0.837932
33,0.647059,-0.625273,1.169532,0.837938
34,0.666667,-0.625267,1.169543,0.837948
35,0.686275,-0.625292,1.169568,0.837949
36,0.705882,-0.625274,1.169556,0.837944
37,0.725490,-0.625251,1.169523,0.837948
38,0.745098,-0.625236,1.169515,0.837940
39,0.764706,-0.625220,1.169522,0.837947
40,0.784314,-0.625237,1.169525,0.837944
41,0.803922,-0.625254,1.169520,0.837950
42,0.823529,-0.625285,1.169515,0.837946
43,0.843137,-0.625297,1.169545,0.837941
44,0.862745,-0.625283,1.169547,0.837951
45,0.882353,-0.625262,1.169542,0.837937
46,0.901961,-0.625235,1.169525,0.837939
47,0.921569,-0.625216,1.169534,0.837941
48,0.941176,-0.625214,1.169535,0.837946
49,0.960784,-0.625243,1.169511,0.837935
50,0.980392,-0.625283,1.169515,0.837943
51,1.000000,-0.625310,1.169546,0.837946
52,1.019608,-0.625288,1.169571,0.837948
53,1.039216,-0.625274,1.169566,0.837947
54,1.058824,-0.625227,1.169530,0.837947
55,1.078431,-0.625212,1.169506,0.837946
56,1.098039,-0.625206,1.169493,0.837937
57,1.117647,-0.625226,1.169515,0.837945
58,1.137255,-0.625252,1.169534,0.837940
59,1.156863,-0.625279,1.169559,0.837943
60,1.176471,-0.625290,1.169576,0.837942
61,1.196078,-0.625279,1.169569,0.837946
62,1.215686,-0.625257,1.169533,0.837936
63,1.235294,-0.625244,1.169494,0.837931
64,1.254902,-0.625224,1.169478,0.837932
65,1.274510,-0.625232,1.169498,0.837941
66,1.294118,-0.625235,1.169530,0.837943
67,1.313725,-0.625269,1.169537,0.837946
68,1.333333,-0.625292,1.169574,0.837954
69,1.352941,-0.625298,1.169586,0.837956
70,1.372549,-0.625267,1.169579,0.837967
71,1.392157,-0.625243,1.169521,0.837940
72,1.411765,-0.625222,1.169500,0.837956
73,1.431373,-0.625197,1.169475,0.837942
74,1.450980,-0.625214,1.169488,0.837943
75,1.470588,-0.625252,1.169513,0.837936
76,1.490196,-0.625272,1.169567,0.837939
77,1.509804,-0.625296,1.169597,0.837951
78,1.529412,-0.625289,1.169617,0.837944
79,1.549020,-0.625273,1.169575,0.837946
80,1.568627,-0.625241,1.169512,0.837930
81,1.588235,-0.625224,1.169462,0.837931
82,1.607843,-0.625214,1.169457,0.837929
83,1.627451,-0.625212,1.169497,0.837933
84,1.647059,-0.625261,1.169542,0.837938
85,1.666667,-0.625273,1.169584,0.837948
86,1.686275,-0.625315,1.169601,0.837956
87,1.705882,-0.625294,1.169590,0.837953
88,1.725490,-0.625268,1.169541,0.837952
89,1.745098,-0.625230,1.169487,0.837939
90,1.764706,-0.625188,1.169480,0.837947
91,1.784314,-0.625188,1.169497,0.837945
92,1.803922,-0.625225,1.169527,0.837945
93,1.823529,-0.625282,1.169540,0.837940
94,1.843137,-0.625322,1.169568,0.837950
95,1.862745,-0.625328,1.169584,0.837952
