Format Version,1.1,Take Name,Take 2025-06-30 05.17.39 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-06-30 05.17.39.362 PM,Total Frames,401,Rotation Type,Quaternion

,,Marker,Marker,Marker
,,Marker-10001,Marker-10001,Marker-10001
,,"8392B20CF49E35702711","8392B20CF49E35702711","8392B20CF49E35702711"
,,Position,Position,Position
Frame,Time,X,Y,Z
800,6.666667,-0.728131,1.413464,0.556476
801,6.675000,-0.728140,1.413471,0.556471
802,6.683333,-0.728128,1.413479,0.556461
803,6.691667,-0.728099,1.413479,0.556464
804,6.700000,-0.728072,1.413486,0.556466
805,6.708333,-0.728067,1.413513,0.556477
806,6.716667,-0.728098,1.413558,0.556486
807,6.725000,-0.728084,1.413547,0.556493
808,6.733333,-0.728095,1.413517,0.556477
809,6.741667,-0.728119,1.413465,0.556472
810,6.750000,-0.728122,1.413434,0.556463
811,6.758333,-0.728117,1.413443,0.556462
812,6.766667,-0.728113,1.413476,0.556469
813,6.775000,-0.728106,1.413512,0.556476
814,6.783333,-0.728088,1.413532,0.556481
815,6.791667,-0.728089,1.413541,0.556488
816,6.800000,-0.728112,1.413533,0.556491
817,6.808333,-0.728137,1.413507,0.556479
818,6.816667,-0.728140,1.413475,0.556471
819,6.825000,-0.728127,1.413464,0.556466
820,6.833333,-0.728122,1.413481,0.556466
821,6.841667,-0.728113,1.413527,0.556476
822,6.850000,-0.728115,1.413543,0.556484
823,6.858333,-0.728113,1.413539,0.556482
824,6.866667,-0.728104,1.413507,0.556479
825,6.875000,-0.728110,1.413477,0.556467
826,6.883333,-0.728135,1.413451,0.556470
827,6.891667,-0.728112,1.413411,0.556461
828,6.900000,-0.728099,1.413406,0.556455
829,6.908333,-0.728073,1.413425,0.556460
830,6.916667,-0.728066,1.413462,0.556461
831,6.925000,-0.728083,1.413501,0.556478
832,6.933333,-0.728094,1.413491,0.556482
833,6.941667,-0.728092,1.413470,0.556482
834,6.950000,-0.728107,1.413463,0.556477
835,6.958333,-0.728128,1.413479,0.556486
836,6.966667,-0.724126,1.411270,0.553394
837,6.975000,-0.724099,1.411282,0.553383
838,6.983333,-0.728123,1.413557,0.556501
839,6.991667,-0.728138,1.413575,0.556514
840,7.000000,-0.728153,1.413580,0.556507
841,7.008333,-0.728155,1.413536,0.556499
842,7.016667,-0.724072,1.411210,0.553376
843,7.025000,-0.728117,1.413463,0.556475
844,7.033333,-0.728113,1.413471,0.556475
845,7.041667,-0.728101,1.413489,0.556464
846,7.050000,-0.728072,1.413501,0.556466
847,7.058333,-0.728054,1.413494,0.556471
848,7.066667,-0.728047,1.413479,0.556467
849,7.075000,-0.728066,1.413456,0.556454
850,7.083333,-0.728101,1.413452,0.556454
851,7.091667,-0.728111,1.413437,0.556452
852,7.100000,-0.728113,1.413421,0.556454
853,7.108333,-0.728120,1.413433,0.556460
854,7.116667,-0.728150,1.413471,0.556479
855,7.125000,-0.728135,1.413499,0.556483
856,7.133333,-0.724128,1.411276,0.553390
857,7.141667,-0.724115,1.411262,0.553383
858,7.150000,-0.724077,1.411236,0.553361
859,7.158333,-0.724074,1.411231,0.553362
860,7.166667,-0.724095,1.411243,0.553372
861,7.175000,-0.728132,1.413505,0.556476
862,7.183333,-0.724038,1.411244,0.553354
863,7.191667,-0.728102,1.413537,0.556488
864,7.200000,-0.728098,1.413555,0.556486
865,7.208333,-0.728092,1.413551,0.556484
866,7.216667,-0.728069,1.413533,0.556480
867,7.225000,-0.728069,1.413506,0.556476
868,7.233333,-0.728089,1.413495,0.556472
869,7.241667,-0.728069,1.413476,0.556467
870,7.250000,-0.728071,1.413468,0.556466
871,7.258333,-0.728076,1.413460,0.556464
872,7.266667,-0.728079,1.413430,0.556461
873,7.275000,-0.728080,1.413413,0.556460
874,7.283333,-0.728107,1.413422,0.556460
875,7.291667,-0.728118,1.413440,0.556462
876,7.300000,-0.728132,1.413451,0.556477
877,7.308333,-0.728134,1.413474,0.556482
878,7.316667,-0.724119,1.411255,0.553384
879,7.325000,-0.724147,1.411305,0.553395
880,7.333333,-0.728175,1.413559,0.556497
881,7.341667,-0.728168,1.413536,0.556496
882,7.350000,-0.728148,1.413507,0.556493
883,7.358333,-0.728147,1.413502,0.556487
884,7.366667,-0.724090,1.411237,0.553369
885,7.375000,-0.728098,1.413496,0.556476
886,7.383333,-0.728029,1.413502,0.556478
887,7.391667,-0.727957,1.413499,0.556464
888,7.400000,-0.727890,1.413506,0.556450
889,7.408333,-0.727805,1.413498,0.556424
890,7.416667,-0.727701,1.413489,0.556412
891,7.425000,-0.727535,1.413471,0.556410
892,7.433333,-0.723413,1.411278,0.553367
893,7.441667,-0.727206,1.413513,0.556488
894,7.450000,-0.727027,1.413546,0.556495
895,7.458333,-0.726792,1.413558,0.556473
896,7.466667,-0.722495,1.411312,0.553345
897,7.475000,-0.726104,1.413549,0.556440
898,7.483333,-0.721489,1.411262,0.553305
899,7.491667,-0.724867,1.413520,0.556380
900,7.500000,-0.723983,1.413522,0.556320
901,7.508333,-0.718822,1.411276,0.553078
902,7.516667,-0.721654,1.413600,0.556145
903,7.525000,-0.720213,1.413611,0.556108
904,7.533333,-0.718688,1.413640,0.556123
905,7.541667,-0.717069,1.413653,0.556169
906,7.550000,-0.715504,1.413706,0.556314
907,7.558333,-0.714071,1.413714,0.556524
908,7.566667,-0.713006,1.413762,0.556885
909,7.575000,-0.712349,1.413851,0.557332
910,7.583333,-0.712275,1.413971,0.557790
911,7.591667,-0.712757,1.414057,0.558245
912,7.600000,-0.713624,1.414150,0.558674
913,7.608333,-0.714739,1.414178,0.559144
